alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,27.7,27.5,32,0.0,0.0,28.0,28.0,28.0,28.0,32.3,32.0,37.0,36.5,45,15.0,20
0.5,0.01,1.0,Texas,28.0,28,28,28.0,34.7,36.0,39,0.0,0.0,28.0,28.0,28.0,28.0,31.6,31.5,42.4,42.5,46,20.8,23
0.5,0.05,0.5,Texas,28.0,28,28,28.0,43.0,43.5,48,0.0,0.0,28.0,28.0,28.0,28.0,29.4,30.0,43.0,43.0,55,21.8,26
1.0,0.01,0.5,Texas,28.0,28,28,28.0,38.1,38.5,43,0.0,0.0,28.0,28.0,28.0,28.0,32.3,32.0,49.4,48.0,59,23.6,29
0.5,0.1,0.5,Texas,28.0,28,28,28.0,45.3,45.0,48,0.0,0.0,28.0,28.0,28.0,28.0,29.8,30.0,44.8,45.0,52,24.0,28
0.5,0.25,0.5,Texas,28.0,28,28,28.0,50.3,50.5,56,0.0,0.0,28.0,28.0,28.0,28.0,28.4,28.0,45.4,45.5,48,25.7,29
0.5,0.05,1.0,Texas,28.0,28,28,28.0,47.4,47.0,52,0.0,0.0,28.0,28.0,28.0,28.0,29.4,30.0,52.3,53.5,61,26.1,30
0.5,0.01,2.0,Texas,28.0,28,28,28.0,44.7,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,32.4,34.0,51.5,51.5,55,26.4,31
1.0,0.01,1.0,Texas,28.0,28,28,28.0,47.9,48.0,53,0.0,0.0,28.0,28.0,28.0,28.0,32.5,34.0,55.6,54.5,62,26.6,30
0.5,0.1,1.0,Texas,28.0,28,28,28.0,53.0,52.5,58,0.0,0.0,28.0,28.0,28.0,28.0,28.8,28.0,51.4,52.5,56,26.9,30
0.5,0.25,1.0,Texas,28.0,28,28,28.0,54.5,54.5,59,0.0,0.0,28.0,28.0,28.0,28.0,28.8,28.0,51.9,51.5,58,28.3,32
2.0,0.01,1.0,Texas,28.0,28,28,28.0,49.6,50.0,55,0.0,0.0,28.0,28.0,28.0,28.0,31.7,31.0,68.9,69.5,74,29.3,37
2.0,0.01,0.5,Texas,28.0,28,28,28.0,46.5,47.0,55,0.0,0.0,28.0,28.0,28.0,28.0,33.3,34.0,64.1,63.5,73,29.7,36
1.0,0.05,0.5,Texas,28.0,28,28,28.0,50.8,51.0,54,0.0,0.0,28.0,28.0,28.0,28.0,29.8,30.0,54.4,53.5,61,29.8,33
1.0,0.01,2.0,Texas,28.0,28,28,28.0,47.5,48.0,51,0.0,0.0,28.0,28.0,28.0,28.0,31.9,32.0,65.3,64.0,78,30.7,35
1.0,0.25,0.5,Texas,28.0,28,28,28.0,57.7,57.5,60,0.0,0.0,28.0,28.0,28.0,28.0,28.4,28.0,58.5,58.0,69,30.8,32
2.0,0.01,2.0,Texas,28.0,28,28,28.0,48.5,48.0,56,0.0,0.0,28.0,28.0,28.0,28.0,31.7,30.5,71.0,70.0,81,30.9,35
ALL,ALL,ALL,Texas,28.0,28,28,28.0,52.625,54.0,67,0.0,0.0,28.0,28.0,28.0,28.0,29.93611111111111,30.0,61.13055555555555,62.0,84,31.019444444444446,43
1.0,0.1,0.5,Texas,28.0,28,28,28.0,52.5,52.5,57,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,58.6,59.0,65,32.1,35
1.0,0.25,1.0,Texas,28.0,28,28,28.0,62.1,62.0,65,0.0,0.0,28.0,28.0,28.0,28.0,28.2,28.0,64.5,65.5,69,33.9,36
1.0,0.1,1.0,Texas,28.0,28,28,28.0,59.1,58.0,64,0.0,0.0,28.0,28.0,28.0,28.0,28.8,28.0,62.9,63.0,68,33.9,38
2.0,0.25,1.0,Texas,28.0,28,28,28.0,63.4,64.0,65,0.0,0.0,28.0,28.0,28.0,28.0,29.2,30.0,73.7,75.0,76,34.3,37
0.5,0.1,2.0,Texas,28.0,28,28,28.0,58.0,58.0,61,0.0,0.0,28.0,28.0,28.0,28.0,29.2,30.0,59.5,60.0,67,34.3,37
0.5,0.05,2.0,Texas,28.0,28,28,28.0,53.9,54.0,57,0.0,0.0,28.0,28.0,28.0,28.0,29.7,30.0,59.9,60.5,67,34.8,38
2.0,0.25,0.5,Texas,28.0,28,28,28.0,62.2,61.5,66,0.0,0.0,28.0,28.0,28.0,28.0,28.4,28.0,69.1,68.5,74,34.9,38
2.0,0.1,2.0,Texas,28.0,28,28,28.0,60.0,60.0,64,0.0,0.0,28.0,28.0,28.0,28.0,29.4,30.0,75.7,75.5,84,35.3,40
1.0,0.25,2.0,Texas,28.0,28,28,28.0,62.3,62.0,65,0.0,0.0,28.0,28.0,28.0,28.0,28.6,28.0,70.8,72.0,75,35.5,38
1.0,0.05,1.0,Texas,28.0,28,28,28.0,54.5,53.0,63,0.0,0.0,28.0,28.0,28.0,28.0,29.9,30.0,60.7,59.0,75,35.5,43
2.0,0.1,0.5,Texas,28.0,28,28,28.0,59.2,59.5,63,0.0,0.0,28.0,28.0,28.0,28.0,29.2,30.0,67.5,66.0,79,35.6,39
1.0,0.05,2.0,Texas,28.0,28,28,28.0,55.7,55.5,59,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,70.5,71.0,77,35.8,42
0.5,0.25,2.0,Texas,28.0,28,28,28.0,58.8,58.5,63,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,61.5,61.0,64,35.8,39
