alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,22.7,22.5,33,0.0,0.0,28.0,28.0,28.0,28.0,38.0,39.0,47.3,47.5,54,23.3,29
0.5,0.01,1.0,Texas,28.0,28,28,28.0,26.1,25.5,33,0.0,0.0,28.0,28.0,28.0,28.0,34.0,32.0,56.9,57.0,66,28.6,32
1.0,0.01,0.5,Texas,28.0,28,28,28.0,28.9,29.5,31,0.0,0.0,28.0,28.0,28.0,28.0,33.3,32.0,66.7,66.0,78,32.7,37
0.5,0.05,0.5,Texas,28.0,28,28,28.0,40.6,41.5,44,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,57.6,58.5,63,33.2,35
0.5,0.01,2.0,Texas,28.0,28,28,28.0,36.0,35.5,41,0.0,0.0,28.0,28.0,28.0,28.0,35.9,37.5,67.5,68.0,82,34.0,41
0.5,0.1,0.5,Texas,28.0,28,28,28.0,44.1,44.5,48,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,59.2,59.0,65,34.5,39
1.0,0.01,1.0,Texas,28.0,28,28,28.0,38.9,38.0,45,0.0,0.0,28.0,28.0,28.0,28.0,36.7,39.0,71.2,71.5,81,35.5,40
0.5,0.25,0.5,Texas,28.0,28,28,28.0,46.8,47.0,50,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,58.6,59.0,62,37.4,40
0.5,0.05,1.0,Texas,28.0,28,28,28.0,41.2,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,68.0,68.5,74,38.7,43
1.0,0.01,2.0,Texas,28.0,28,28,28.0,41.5,41.0,48,0.0,0.0,28.0,28.0,28.0,28.0,35.5,35.5,86.2,84.5,98,39.6,46
2.0,0.01,0.5,Texas,28.0,28,28,28.0,39.2,39.0,45,0.0,0.0,28.0,28.0,28.0,28.0,35.4,35.0,90.2,89.5,101,39.6,45
2.0,0.01,1.0,Texas,28.0,28,28,28.0,40.3,40.5,47,0.0,0.0,28.0,28.0,28.0,28.0,33.3,32.0,91.6,92.0,99,40.0,49
0.5,0.1,1.0,Texas,28.0,28,28,28.0,47.5,47.5,51,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,67.4,68.0,72,40.4,42
1.0,0.05,0.5,Texas,28.0,28,28,28.0,43.7,43.0,50,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,76.0,75.5,85,41.7,46
2.0,0.01,2.0,Texas,28.0,28,28,28.0,40.6,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,35.0,33.0,95.9,95.0,105,41.7,47
ALL,ALL,ALL,Texas,28.0,28,28,28.0,45.638888888888886,48.0,57,0.0,0.0,28.0,28.0,28.0,28.0,32.827777777777776,32.0,80.25833333333334,82.0,111,41.75833333333333,54
0.5,0.05,2.0,Texas,28.0,28,28,28.0,49.2,49.5,53,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,80.3,79.5,89,41.9,47
0.5,0.25,1.0,Texas,28.0,28,28,28.0,49.2,49.0,51,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,66.3,66.0,73,42.4,44
1.0,0.25,0.5,Texas,28.0,28,28,28.0,52.0,52.0,53,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,75.4,75.5,80,43.1,45
0.5,0.1,2.0,Texas,28.0,28,28,28.0,51.4,51.5,54,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,79.0,78.0,89,43.1,48
0.5,0.25,2.0,Texas,28.0,28,28,28.0,53.8,53.0,57,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,79.2,79.5,82,43.5,47
