alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,25.4,27.0,31,0.0,0.0,28.0,28.0,28.0,28.0,60.2,55.5,36.0,35.5,40,20.0,25
0.5,0.01,1.0,Texas,28.0,28,28,28.0,34.9,35.0,38,0.0,0.0,28.0,28.0,28.0,28.0,58.4,53.0,45.9,45.5,54,25.4,31
0.5,0.05,0.5,Texas,28.0,28,28,28.0,36.1,36.0,41,0.0,0.0,28.0,28.0,28.0,28.0,52.5,53.0,46.8,47.5,51,26.9,31
0.5,0.1,0.5,Texas,28.0,28,28,28.0,39.3,39.5,45,0.0,0.0,28.0,28.0,28.0,28.0,49.6,49.0,43.5,44.0,47,27.3,31
1.0,0.01,0.5,Texas,28.0,28,28,28.0,37.1,37.5,42,0.0,0.0,28.0,28.0,28.0,28.0,56.8,53.0,55.9,56.0,63,27.5,31
0.5,0.01,2.0,Texas,28.0,28,28,28.0,46.1,46.5,53,0.0,0.0,28.0,28.0,28.0,28.0,53.5,53.0,56.0,57.5,63,29.2,37
0.5,0.05,1.0,Texas,28.0,28,28,28.0,45.4,45.0,50,0.0,0.0,28.0,28.0,28.0,28.0,51.4,53.0,53.8,54.5,58,29.8,33
0.5,0.25,0.5,Texas,28.0,28,28,28.0,41.8,41.5,46,0.0,0.0,28.0,28.0,28.0,28.0,48.1,48.0,45.7,45.5,49,30.6,33
0.5,0.1,1.0,Texas,28.0,28,28,28.0,49.7,49.0,55,0.0,0.0,28.0,28.0,28.0,28.0,50.4,50.0,54.4,55.0,62,31.2,34
0.5,0.25,1.0,Texas,28.0,28,28,28.0,51.9,52.0,55,0.0,0.0,28.0,28.0,28.0,28.0,48.5,48.0,56.0,56.5,60,31.9,34
1.0,0.05,0.5,Texas,28.0,28,28,28.0,47.9,49.0,52,0.0,0.0,28.0,28.0,28.0,28.0,51.9,53.0,59.6,60.5,66,31.9,36
1.0,0.1,0.5,Texas,28.0,28,28,28.0,53.2,54.5,57,0.0,0.0,28.0,28.0,28.0,28.0,50.3,50.0,59.5,58.5,65,31.9,35
0.5,0.1,2.0,Texas,28.0,28,28,28.0,58.5,59.0,62,0.0,0.0,28.0,28.0,28.0,28.0,50.5,50.0,65.5,64.5,72,32.5,37
0.5,0.05,2.0,Texas,28.0,28,28,28.0,54.0,55.0,59,0.0,0.0,28.0,28.0,28.0,28.0,51.5,53.0,63.6,64.5,70,33.2,42
1.0,0.01,1.0,Texas,28.0,28,28,28.0,45.4,44.5,54,0.0,0.0,28.0,28.0,28.0,28.0,55.0,53.0,62.8,60.5,73,33.5,39
