alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,17.6,18.5,21,0.0,0.0,28.0,28.0,28.0,28.0,32.5,31.5,56.4,57.0,66,27.9,33
0.5,0.05,0.5,Texas,28.0,28,28,28.0,29.3,28.5,38,0.0,0.0,28.0,28.0,28.0,28.0,30.3,30.0,76.2,78.0,83,36.4,39
0.5,0.01,1.0,Texas,28.0,28,28,28.0,22.9,23.0,27,0.0,0.0,28.0,28.0,28.0,28.0,33.3,34.5,70.4,69.5,83,37.5,44
0.5,0.1,0.5,Texas,28.0,28,28,28.0,30.8,30.5,34,0.0,0.0,28.0,28.0,28.0,28.0,30.1,30.0,78.3,79.0,82,39.8,44
1.0,0.01,0.5,Texas,28.0,28,28,28.0,26.3,26.0,30,0.0,0.0,28.0,28.0,28.0,28.0,33.7,35.0,79.8,82.5,88,40.7,47
0.5,0.25,0.5,Texas,28.0,28,28,28.0,31.2,31.0,33,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,80.7,81.0,83,42.3,44
0.5,0.05,1.0,Texas,28.0,28,28,28.0,33.9,33.5,41,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,84.5,82.0,100,43.5,49
0.5,0.01,2.0,Texas,28.0,28,28,28.0,28.6,29.0,32,0.0,0.0,28.0,28.0,28.0,28.0,34.2,36.0,82.8,83.0,100,44.8,49
0.5,0.1,1.0,Texas,28.0,28,28,28.0,34.2,33.5,41,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,84.7,84.0,91,45.0,48
1.0,0.01,1.0,Texas,28.0,28,28,28.0,30.0,31.0,36,0.0,0.0,28.0,28.0,28.0,28.0,33.3,34.5,89.6,90.5,97,45.1,49
