alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,22.5,22.5,27,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.5,28.7,28.0,33,22.3,29
0.5,0.01,1.0,Texas,28.0,28,28,28.0,27.9,27.0,33,0.0,0.0,28.0,28.0,28.0,28.0,32.9,34.5,37.1,36.5,45,26.3,29
1.0,0.01,0.5,Texas,28.0,28,28,28.0,29.4,29.0,35,0.0,0.0,28.0,28.0,28.0,28.0,30.8,29.0,47.4,46.5,56,27.8,31
0.5,0.01,2.0,Texas,28.0,28,28,28.0,36.2,36.0,41,0.0,0.0,28.0,28.0,28.0,28.0,33.0,34.5,52.1,51.0,60,30.6,34
1.0,0.01,1.0,Texas,28.0,28,28,28.0,36.2,36.5,44,0.0,0.0,28.0,28.0,28.0,28.0,32.8,35.0,57.0,57.5,63,33.3,38
2.0,0.01,0.5,Texas,28.0,28,28,28.0,37.2,36.5,46,0.0,0.0,28.0,28.0,28.0,28.0,32.9,34.5,63.5,63.0,69,35.5,42
1.0,0.01,2.0,Texas,28.0,28,28,28.0,40.1,41.0,45,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,69.6,68.5,78,36.0,40
0.5,0.1,0.5,Texas,28.0,28,28,28.0,37.4,38.0,41,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,40.2,40.0,45,36.5,42
0.5,0.05,0.5,Texas,28.0,28,28,28.0,31.0,31.5,36,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,41.5,41.5,45,37.2,43
2.0,0.01,1.0,Texas,28.0,28,28,28.0,39.5,39.5,45,0.0,0.0,28.0,28.0,28.0,28.0,32.6,34.0,68.8,72.0,76,37.6,42
0.5,0.25,0.5,Texas,28.0,28,28,28.0,39.0,39.5,41,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,40.0,41.0,43,38.1,40
2.0,0.01,2.0,Texas,28.0,28,28,28.0,40.8,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,31.0,29.0,74.1,72.5,87,38.1,41
0.5,0.05,1.0,Texas,28.0,28,28,28.0,34.1,34.0,36,0.0,0.0,28.0,28.0,28.0,28.0,29.2,29.0,44.9,45.5,49,39.2,41
0.5,0.1,1.0,Texas,28.0,28,28,28.0,38.8,38.5,45,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,45.5,43.0,53,39.8,46
0.5,0.25,1.0,Texas,28.0,28,28,28.0,40.7,41.0,43,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,45.4,45.0,48,40.0,43
1.0,0.05,0.5,Texas,28.0,28,28,28.0,36.6,37.0,41,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,53.0,53.0,59,40.4,42
ALL,ALL,ALL,Texas,28.0,28,28,28.0,42.25277777777778,43.0,56,0.0,0.0,28.0,28.0,28.0,28.0,29.872222222222224,29.0,57.977777777777774,59.0,87,40.46111111111111,52
1.0,0.25,0.5,Texas,28.0,28,28,28.0,42.7,42.5,45,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,52.7,55.0,56,40.9,43
1.0,0.25,1.0,Texas,28.0,28,28,28.0,52.4,53.0,54,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,56.4,57.0,60,42.1,43
1.0,0.1,0.5,Texas,28.0,28,28,28.0,37.8,38.0,40,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,53.1,52.0,60,42.2,44
