alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.25,1.0,Wyoming,28.0,28,28,28.0,11.9,12.0,12,0.0,0.0,50.8,47.0,59.7,59.0,136.0,136.0,1.0,1.0,1,0.0,0
1.0,0.05,2.0,Wyoming,28.0,28,28,28.0,12.8,13.0,13,0.0,0.0,57.8,59.0,64.4,65.0,136.0,136.0,1.0,1.0,1,0.0,0
1.0,0.25,0.5,Wyoming,28.0,28,28,28.0,12.9,13.0,13,0.0,0.0,48.2,47.0,57.3,58.5,136.0,136.0,1.0,1.0,1,0.0,0
1.0,0.05,0.5,Wyoming,28.0,28,28,28.0,12.0,12.0,13,0.0,0.0,56.6,59.0,63.8,65.0,136.0,136.0,1.0,1.0,1,0.0,0
1.0,0.25,2.0,Wyoming,28.0,28,28,28.0,13.2,13.0,14,0.0,0.0,52.0,48.0,59.2,59.0,136.0,136.0,1.0,1.0,1,0.0,0
0.5,0.05,1.0,Wyoming,28.0,28,28,28.0,11.4,11.0,12,0.0,0.0,55.4,59.0,63.2,65.0,136.0,136.0,1.0,1.0,1,0.0,0
2.0,0.25,1.0,Wyoming,28.0,28,28,28.0,13.3,13.0,14,0.0,0.0,49.6,47.0,58.4,59.0,136.0,136.0,1.0,1.0,1,0.0,0
2.0,0.05,1.0,Wyoming,28.0,28,28,28.0,12.9,13.0,14,0.0,0.0,56.6,59.0,63.8,65.0,136.0,136.0,1.0,1.0,1,0.0,0
0.5,0.25,2.0,Wyoming,28.0,28,28,28.0,13.0,13.0,13,0.0,0.0,50.6,47.0,57.2,58.0,136.0,136.0,1.0,1.0,1,0.0,0
1.0,0.05,1.0,Wyoming,28.0,28,28,28.0,12.8,13.0,14,0.0,0.0,57.8,59.0,64.4,65.0,136.0,136.0,1.0,1.0,1,0.0,0
0.5,0.05,0.5,Wyoming,28.0,28,28,28.0,11.3,11.0,12,0.0,0.0,56.6,59.0,63.8,65.0,,,0.0,0.0,0,0.0,0
0.5,0.25,0.5,Wyoming,28.0,28,28,28.0,12.0,12.0,12,0.0,0.0,52.0,48.0,60.4,59.0,,,0.0,0.0,0,0.0,0
