alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,19.3,20.0,23,0.0,0.0,28.0,28.0,28.0,28.0,37.4,37.0,39.8,40.0,44,21.7,26
0.5,0.01,1.0,Texas,28.0,28,28,28.0,23.5,25.0,27,0.0,0.0,28.0,28.0,28.0,28.0,37.0,37.0,48.6,48.0,59,25.8,32
0.5,0.05,0.5,Texas,28.0,28,28,28.0,33.4,34.0,37,0.0,0.0,28.0,28.0,28.0,28.0,37.0,37.0,59.3,59.0,68,26.4,29
0.5,0.1,0.5,Texas,28.0,28,28,28.0,37.7,37.0,43,0.0,0.0,28.0,28.0,28.0,28.0,34.9,37.0,66.6,67.0,71,28.2,30
0.5,0.25,0.5,Texas,28.0,28,28,28.0,39.4,39.0,44,0.0,0.0,28.0,28.0,28.0,28.0,33.5,33.5,67.1,66.5,72,29.1,31
0.5,0.1,1.0,Texas,28.0,28,28,28.0,40.8,41.0,43,0.0,0.0,28.0,28.0,28.0,28.0,36.3,37.0,69.9,70.5,78,31.1,34
1.0,0.01,0.5,Texas,28.0,28,28,28.0,25.0,25.0,28,0.0,0.0,28.0,28.0,28.0,28.0,37.6,37.0,56.7,58.5,69,31.7,37
0.5,0.05,1.0,Texas,28.0,28,28,28.0,37.2,37.0,40,0.0,0.0,28.0,28.0,28.0,28.0,37.0,37.0,65.1,65.5,70,32.2,36
0.5,0.25,1.0,Texas,28.0,28,28,28.0,43.0,44.0,46,0.0,0.0,28.0,28.0,28.0,28.0,36.3,37.0,75.7,74.5,84,35.2,38
0.5,0.01,2.0,Texas,28.0,28,28,28.0,28.1,28.0,36,0.0,0.0,28.0,28.0,28.0,28.0,37.2,37.0,60.4,59.0,66,35.4,42
1.0,0.1,0.5,Texas,28.0,28,28,28.0,42.8,42.5,48,0.0,0.0,28.0,28.0,28.0,28.0,37.0,37.0,82.3,82.5,90,35.6,40
1.0,0.25,0.5,Texas,28.0,28,28,28.0,47.3,47.0,50,0.0,0.0,28.0,28.0,28.0,28.0,34.9,37.0,86.5,87.5,91,37.2,40
1.0,0.01,1.0,Texas,28.0,28,28,28.0,30.2,30.5,34,0.0,0.0,28.0,28.0,28.0,28.0,37.4,37.0,69.5,70.5,81,37.6,41
1.0,0.05,0.5,Texas,28.0,28,28,28.0,39.2,40.0,44,0.0,0.0,28.0,28.0,28.0,28.0,37.0,37.0,77.3,76.0,85,38.0,42
