alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,21.7,22.5,24,0.0,0.0,28.0,28.0,28.0,28.0,32.1,32.5,36.3,36.5,46,21.9,29
0.5,0.25,0.5,Texas,28.0,28,28,28.0,48.3,48.5,51,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,40.9,41.0,44,22.1,25
0.5,0.1,0.5,Texas,28.0,28,28,28.0,44.8,45.0,49,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,42.3,42.0,47,22.1,25
0.5,0.05,0.5,Texas,28.0,28,28,28.0,40.0,40.0,44,0.0,0.0,28.0,28.0,28.0,28.0,29.4,29.0,43.9,43.0,50,23.8,27
0.5,0.25,1.0,Texas,28.0,28,28,28.0,54.6,54.5,57,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,56.1,56.0,58,30.3,32
0.5,0.01,1.0,Texas,28.0,28,28,28.0,29.3,30.0,32,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,48.7,48.0,56,30.6,36
0.5,0.05,1.0,Texas,28.0,28,28,28.0,44.8,45.5,48,0.0,0.0,28.0,28.0,28.0,28.0,29.2,29.0,53.0,53.5,62,32.6,39
0.5,0.1,1.0,Texas,28.0,28,28,28.0,49.9,50.0,53,0.0,0.0,28.0,28.0,28.0,28.0,29.4,29.0,55.3,55.5,62,33.0,38
1.0,0.01,0.5,Texas,28.0,28,28,28.0,31.7,30.5,40,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,54.9,56.5,64,33.1,38
0.5,0.25,2.0,Texas,28.0,28,28,28.0,61.3,61.5,64,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,66.3,66.0,71,37.6,40
0.5,0.01,2.0,Texas,28.0,28,28,28.0,36.7,37.0,43,0.0,0.0,28.0,28.0,28.0,28.0,30.6,30.0,56.3,56.5,65,38.3,44
1.0,0.25,0.5,Texas,28.0,28,28,28.0,58.8,58.5,62,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,60.4,61.0,64,38.5,41
ALL,ALL,ALL,Texas,28.0,28,28,28.0,48.541666666666664,52.0,64,0.0,0.0,28.0,28.0,28.0,28.0,29.752777777777776,29.0,68.15,69.0,107,39.13611111111111,56
1.0,0.05,0.5,Texas,28.0,28,28,28.0,47.8,45.5,55,0.0,0.0,28.0,28.0,28.0,28.0,29.6,29.0,61.7,62.0,70,39.5,45
0.5,0.05,2.0,Texas,28.0,28,28,28.0,53.2,54.0,57,0.0,0.0,28.0,28.0,28.0,28.0,29.2,29.0,66.1,66.0,72,39.8,46
1.0,0.1,0.5,Texas,28.0,28,28,28.0,54.2,54.0,59,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,60.3,60.0,67,40.2,45
1.0,0.25,1.0,Texas,28.0,28,28,28.0,60.1,60.5,63,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,67.9,68.5,72,40.5,44
1.0,0.05,1.0,Texas,28.0,28,28,28.0,52.8,52.0,58,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,70.5,71.0,76,41.3,46
0.5,0.1,2.0,Texas,28.0,28,28,28.0,55.3,55.0,59,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,69.6,68.5,79,41.3,45
2.0,0.25,0.5,Texas,28.0,28,28,28.0,58.6,58.5,62,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,77.7,77.5,81,41.4,46
1.0,0.25,2.0,Texas,28.0,28,28,28.0,59.6,60.0,62,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,77.3,77.0,83,41.8,44
1.0,0.1,1.0,Texas,28.0,28,28,28.0,55.9,57.0,59,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,66.9,67.0,73,41.8,48
2.0,0.25,1.0,Texas,28.0,28,28,28.0,59.6,59.0,64,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,83.2,83.0,87,42.0,44
1.0,0.01,1.0,Texas,28.0,28,28,28.0,34.1,34.5,40,0.0,0.0,28.0,28.0,28.0,28.0,32.9,31.0,65.5,65.0,72,42.2,46
2.0,0.25,2.0,Texas,28.0,28,28,28.0,59.9,59.5,62,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,85.5,85.5,88,42.5,45
1.0,0.01,2.0,Texas,28.0,28,28,28.0,40.2,40.0,43,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,77.3,80.5,89,43.3,49
2.0,0.1,0.5,Texas,28.0,28,28,28.0,54.7,55.5,57,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,77.3,77.5,84,44.3,49
2.0,0.1,1.0,Texas,28.0,28,28,28.0,55.3,55.0,61,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,83.0,81.5,88,44.5,49
1.0,0.1,2.0,Texas,28.0,28,28,28.0,54.3,55.0,60,0.0,0.0,28.0,28.0,28.0,28.0,29.2,29.0,79.0,79.5,85,44.9,54
2.0,0.1,2.0,Texas,28.0,28,28,28.0,55.0,54.5,60,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,87.2,87.0,95,45.5,49
2.0,0.05,1.0,Texas,28.0,28,28,28.0,52.7,53.0,58,0.0,0.0,28.0,28.0,28.0,28.0,29.4,29.0,84.6,83.0,98,45.6,55
