alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,23.4,24.0,26,0.0,0.0,28.0,28.0,28.0,28.0,34.1,32.0,31.0,31.5,41,15.7,21
0.5,0.01,1.0,Texas,28.0,28,28,28.0,31.3,32.0,36,0.0,0.0,28.0,28.0,28.0,28.0,34.2,32.0,42.4,42.5,48,19.4,24
1.0,0.01,0.5,Texas,28.0,28,28,28.0,33.5,34.0,37,0.0,0.0,28.0,28.0,28.0,28.0,35.5,35.5,48.6,48.5,54,22.0,26
0.5,0.05,0.5,Texas,28.0,28,28,28.0,31.2,31.0,35,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,40.4,40.0,45,22.1,26
0.5,0.1,0.5,Texas,28.0,28,28,28.0,33.0,33.0,36,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,37.5,38.0,41,23.7,29
0.5,0.05,1.0,Texas,28.0,28,28,28.0,38.5,37.5,43,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,49.0,50.0,60,26.6,30
1.0,0.01,1.0,Texas,28.0,28,28,28.0,42.8,43.0,45,0.0,0.0,28.0,28.0,28.0,28.0,36.4,39.0,55.6,56.0,62,26.8,31
0.5,0.01,2.0,Texas,28.0,28,28,28.0,40.6,40.5,47,0.0,0.0,28.0,28.0,28.0,28.0,35.5,35.5,51.4,52.5,55,27.0,32
0.5,0.1,1.0,Texas,28.0,28,28,28.0,42.1,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,46.8,46.5,51,29.4,33
1.0,0.05,0.5,Texas,28.0,28,28,28.0,42.6,43.0,46,0.0,0.0,28.0,28.0,28.0,28.0,32.7,32.0,54.8,52.5,65,30.3,34
2.0,0.01,0.5,Texas,28.0,28,28,28.0,41.0,41.0,46,0.0,0.0,28.0,28.0,28.0,28.0,35.9,37.0,68.8,69.0,74,30.4,34
0.5,0.25,0.5,Texas,28.0,28,28,28.0,33.0,32.5,37,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,39.4,39.0,42,31.0,36
1.0,0.01,2.0,Texas,28.0,28,28,28.0,42.4,41.5,51,0.0,0.0,28.0,28.0,28.0,28.0,36.4,39.0,71.4,70.5,88,31.2,35
2.0,0.01,1.0,Texas,28.0,28,28,28.0,42.2,42.5,49,0.0,0.0,28.0,28.0,28.0,28.0,34.8,32.0,73.0,73.5,79,32.8,38
2.0,0.01,2.0,Texas,28.0,28,28,28.0,42.9,44.0,50,0.0,0.0,28.0,28.0,28.0,28.0,33.8,32.0,74.0,74.0,84,32.8,39
1.0,0.1,0.5,Texas,28.0,28,28,28.0,43.0,43.5,45,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,56.8,57.0,59,33.0,38
0.5,0.25,1.0,Texas,28.0,28,28,28.0,41.5,41.0,45,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,45.5,46.0,49,33.8,38
ALL,ALL,ALL,Texas,28.0,28,28,28.0,45.05555555555556,46.0,60,0.0,0.0,28.0,28.0,28.0,28.0,32.852777777777774,32.0,60.63055555555555,61.5,90,33.86944444444445,50
0.5,0.1,2.0,Texas,28.0,28,28,28.0,50.4,49.5,55,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,59.4,60.5,65,34.2,40
0.5,0.05,2.0,Texas,28.0,28,28,28.0,47.4,46.5,52,0.0,0.0,28.0,28.0,28.0,28.0,32.7,32.0,56.7,54.5,65,34.5,38
1.0,0.05,1.0,Texas,28.0,28,28,28.0,50.9,51.0,55,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,63.1,60.5,74,35.6,38
1.0,0.1,1.0,Texas,28.0,28,28,28.0,52.9,54.0,58,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,62.9,63.5,68,35.6,41
1.0,0.25,0.5,Texas,28.0,28,28,28.0,43.9,45.0,47,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,55.1,54.0,59,35.9,40
1.0,0.05,2.0,Texas,28.0,28,28,28.0,51.4,52.5,56,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,74.7,73.5,81,37.3,45
0.5,0.25,2.0,Texas,28.0,28,28,28.0,52.3,52.0,55,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,57.5,58.0,62,37.4,41
2.0,0.05,0.5,Texas,28.0,28,28,28.0,50.9,51.5,53,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,74.2,72.5,90,38.3,43
2.0,0.05,1.0,Texas,28.0,28,28,28.0,51.2,52.0,54,0.0,0.0,28.0,28.0,28.0,28.0,32.7,32.0,78.5,77.0,89,39.2,44
1.0,0.25,1.0,Texas,28.0,28,28,28.0,52.8,52.5,56,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,60.2,59.0,71,40.3,44
2.0,0.1,0.5,Texas,28.0,28,28,28.0,51.1,51.0,54,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,71.3,71.5,78,40.7,44
1.0,0.1,2.0,Texas,28.0,28,28,28.0,51.5,52.5,56,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,73.6,74.0,81,41.4,47
2.0,0.1,1.0,Texas,28.0,28,28,28.0,53.1,53.5,57,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,76.4,76.0,86,41.5,46
