alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,18.9,19.5,23,0.0,0.0,28.0,28.0,28.0,28.0,31.7,31.0,34.5,35.0,43,24.4,30
0.5,0.01,1.0,Texas,28.0,28,28,28.0,25.9,26.0,31,0.0,0.0,28.0,28.0,28.0,28.0,31.9,31.5,37.1,35.5,48,26.0,30
0.5,0.05,0.5,Texas,28.0,28,28,28.0,30.3,30.0,33,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,40.0,39.5,43,29.1,31
0.5,0.1,0.5,Texas,28.0,28,28,28.0,31.1,32.0,33,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,39.4,39.5,43,30.2,34
0.5,0.25,0.5,Texas,28.0,28,28,28.0,34.9,35.0,37,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,40.3,40.0,45,30.4,32
1.0,0.01,0.5,Texas,28.0,28,28,28.0,27.6,27.0,34,0.0,0.0,28.0,28.0,28.0,28.0,32.1,32.0,51.3,50.0,61,30.7,35
1.0,0.01,1.0,Texas,28.0,28,28,28.0,33.3,34.0,36,0.0,0.0,28.0,28.0,28.0,28.0,30.4,30.0,60.3,60.0,67,31.3,39
0.5,0.01,2.0,Texas,28.0,28,28,28.0,34.6,34.5,40,0.0,0.0,28.0,28.0,28.0,28.0,31.2,30.5,54.8,57.0,62,31.6,34
0.5,0.05,1.0,Texas,28.0,28,28,28.0,37.0,36.5,40,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,52.5,53.0,58,34.0,37
0.5,0.1,1.0,Texas,28.0,28,28,28.0,39.3,39.5,41,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,54.1,53.0,59,35.1,39
0.5,0.25,1.0,Texas,28.0,28,28,28.0,41.7,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,54.3,54.5,58,35.7,39
2.0,0.01,0.5,Texas,28.0,28,28,28.0,35.2,34.0,42,0.0,0.0,28.0,28.0,28.0,28.0,34.0,33.0,67.7,67.5,77,36.3,39
1.0,0.01,2.0,Texas,28.0,28,28,28.0,36.5,38.0,40,0.0,0.0,28.0,28.0,28.0,28.0,31.9,31.0,68.5,68.0,79,37.2,41
2.0,0.01,2.0,Texas,28.0,28,28,28.0,39.2,39.0,46,0.0,0.0,28.0,28.0,28.0,28.0,30.7,30.0,77.6,76.0,95,37.6,43
2.0,0.01,1.0,Texas,28.0,28,28,28.0,37.0,36.5,44,0.0,0.0,28.0,28.0,28.0,28.0,30.9,30.0,70.0,69.0,81,38.6,43
1.0,0.05,0.5,Texas,28.0,28,28,28.0,38.6,40.0,41,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,62.1,62.0,68,38.9,44
ALL,ALL,ALL,Texas,28.0,28,28,28.0,39.81666666666667,41.0,53,0.0,0.0,28.0,28.0,28.0,28.0,30.413888888888888,30.0,66.02777777777777,69.0,96,40.230555555555554,52
0.5,0.05,2.0,Texas,28.0,28,28,28.0,41.4,41.0,45,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,67.4,67.0,73,41.3,46
1.0,0.1,0.5,Texas,28.0,28,28,28.0,39.2,39.5,41,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,63.7,65.0,72,41.7,44
1.0,0.25,0.5,Texas,28.0,28,28,28.0,41.5,41.5,44,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,61.9,60.5,70,42.1,45
1.0,0.05,1.0,Texas,28.0,28,28,28.0,40.5,40.0,44,0.0,0.0,28.0,28.0,28.0,28.0,30.1,30.0,70.6,70.5,77,42.4,48
0.5,0.1,2.0,Texas,28.0,28,28,28.0,43.8,44.0,47,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,68.9,71.5,75,42.6,46
0.5,0.25,2.0,Texas,28.0,28,28,28.0,46.1,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,66.5,67.0,71,43.1,45
1.0,0.1,1.0,Texas,28.0,28,28,28.0,43.0,43.5,46,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,73.5,73.0,83,44.6,47
1.0,0.25,1.0,Texas,28.0,28,28,28.0,46.4,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,74.2,73.5,80,44.7,48
1.0,0.05,2.0,Texas,28.0,28,28,28.0,44.8,44.5,51,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,79.1,78.0,85,46.1,50
2.0,0.05,0.5,Texas,28.0,28,28,28.0,42.6,42.0,49,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,81.6,81.5,90,47.2,50
2.0,0.1,0.5,Texas,28.0,28,28,28.0,45.7,45.0,52,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,79.4,78.5,86,47.4,52
2.0,0.25,1.0,Texas,28.0,28,28,28.0,49.1,48.5,53,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,81.2,80.0,88,47.5,50
2.0,0.05,1.0,Texas,28.0,28,28,28.0,43.9,43.5,48,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,81.1,79.5,89,47.9,51
1.0,0.1,2.0,Texas,28.0,28,28,28.0,45.7,45.0,49,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,76.8,77.0,81,48.5,52
1.0,0.25,2.0,Texas,28.0,28,28,28.0,48.5,49.0,51,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,76.4,77.0,81,48.6,50
2.0,0.05,2.0,Texas,28.0,28,28,28.0,43.3,44.0,46,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,86.2,84.5,96,48.7,52
2.0,0.1,2.0,Texas,28.0,28,28,28.0,45.6,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,81.8,82.0,91,49.0,52
2.0,0.1,1.0,Texas,28.0,28,28,28.0,44.5,44.0,50,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,79.6,80.0,85,49.1,52
2.0,0.25,0.5,Texas,28.0,28,28,28.0,47.7,48.0,50,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,80.0,78.5,86,49.3,52
2.0,0.25,2.0,Texas,28.0,28,28,28.0,49.0,49.0,52,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,82.6,80.5,91,49.4,51
0.5,0.05,0.5,Iowa,30.0,30,30,30.0,23.6,24.0,27,5.2,6.0,44.4,44.0,48.7,46.0,30.8,32.0,101.4,101.5,113,55.6,60
0.5,0.05,1.0,Iowa,30.0,30,30,30.0,24.5,24.0,29,5.7,9.0,44.6,44.0,51.1,46.0,30.0,30.0,104.6,103.0,118,57.7,63
0.5,0.1,0.5,Iowa,30.0,30,30,30.0,21.7,22.0,24,5.8,6.0,44.0,44.0,50.0,46.0,28.4,28.0,106.4,105.5,114,58.9,62
0.5,0.25,0.5,Iowa,30.0,30,30,30.0,23.1,23.0,27,6.2,7.0,44.0,44.0,44.0,44.0,30.4,32.0,112.2,112.0,118,59.4,64
0.5,0.1,1.0,Iowa,30.0,30,30,30.0,22.8,23.0,26,5.6,6.0,44.0,44.0,46.1,44.0,28.0,28.0,112.0,112.5,120,60.8,66
0.5,0.25,1.0,Iowa,30.0,30,30,30.0,23.6,24.0,26,6.4,8.0,44.0,44.0,44.0,44.0,28.4,28.0,121.2,121.0,131,61.7,65
