alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,27.2,27.5,30,0.0,0.0,28.0,28.0,28.0,28.0,31.4,30.0,39.8,40.0,48,22.0,32
0.5,0.01,1.0,Texas,28.0,28,28,28.0,36.1,36.0,39,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,55.0,54.5,69,28.3,33
1.0,0.01,0.5,Texas,28.0,28,28,28.0,38.2,38.5,43,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,68.8,68.0,78,30.7,40
0.5,0.05,0.5,Texas,28.0,28,28,28.0,33.9,34.5,37,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,59.2,59.5,64,34.4,41
0.5,0.01,2.0,Texas,28.0,28,28,28.0,43.7,44.0,50,0.0,0.0,28.0,28.0,28.0,28.0,31.9,30.0,70.3,70.5,81,35.3,44
0.5,0.25,0.5,Texas,28.0,28,28,28.0,42.6,42.5,47,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,57.6,57.5,63,36.2,39
1.0,0.01,1.0,Texas,28.0,28,28,28.0,42.2,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,75.6,77.5,83,37.5,44
0.5,0.1,0.5,Texas,28.0,28,28,28.0,35.2,35.0,39,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,58.8,58.0,64,37.5,42
0.5,0.05,1.0,Texas,28.0,28,28,28.0,43.4,42.5,53,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,66.7,68.5,74,37.7,45
1.0,0.05,0.5,Texas,28.0,28,28,28.0,45.3,44.5,50,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,73.4,72.0,80,39.6,41
0.5,0.1,1.0,Texas,28.0,28,28,28.0,45.6,46.0,51,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,64.6,65.5,72,39.6,47
0.5,0.25,1.0,Texas,28.0,28,28,28.0,51.2,51.5,53,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,67.6,69.0,72,41.2,45
2.0,0.01,0.5,Texas,28.0,28,28,28.0,41.8,41.0,50,0.0,0.0,28.0,28.0,28.0,28.0,31.0,30.0,88.1,86.5,97,41.4,45
