alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,23.3,22.5,33,0.0,0.0,28.0,28.0,28.0,28.0,39.2,36.5,28.7,27.0,37,18.0,22
0.5,0.05,0.5,Texas,28.0,28,28,28.0,39.5,39.5,45,0.0,0.0,28.0,28.0,28.0,28.0,33.1,33.0,35.7,36.0,41,22.2,24
0.5,0.1,0.5,Texas,28.0,28,28,28.0,42.9,42.5,46,0.0,0.0,28.0,28.0,28.0,28.0,32.9,33.0,37.3,36.5,43,22.3,25
0.5,0.25,0.5,Texas,28.0,28,28,28.0,45.5,45.5,50,0.0,0.0,28.0,28.0,28.0,28.0,30.7,30.0,39.9,39.5,45,23.3,26
0.5,0.01,1.0,Texas,28.0,28,28,28.0,30.3,30.5,38,0.0,0.0,28.0,28.0,28.0,28.0,42.2,43.0,40.5,41.5,47,24.5,31
1.0,0.01,0.5,Texas,28.0,28,28,28.0,33.5,35.0,37,0.0,0.0,28.0,28.0,28.0,28.0,42.8,40.0,49.1,50.0,55,25.5,36
0.5,0.25,1.0,Texas,28.0,28,28,28.0,56.8,57.0,59,0.0,0.0,28.0,28.0,28.0,28.0,31.3,31.0,48.8,48.0,57,26.6,32
0.5,0.1,1.0,Texas,28.0,28,28,28.0,52.5,53.0,60,0.0,0.0,28.0,28.0,28.0,28.0,32.7,33.0,50.2,50.0,55,26.6,29
0.5,0.01,2.0,Texas,28.0,28,28,28.0,37.9,39.0,42,0.0,0.0,28.0,28.0,28.0,28.0,40.1,38.0,49.8,49.5,57,27.3,31
0.5,0.05,1.0,Texas,28.0,28,28,28.0,48.1,48.0,51,0.0,0.0,28.0,28.0,28.0,28.0,34.4,33.5,49.8,49.0,60,27.6,32
1.0,0.05,0.5,Texas,28.0,28,28,28.0,52.9,53.0,58,0.0,0.0,28.0,28.0,28.0,28.0,33.4,33.0,55.8,56.0,60,28.1,30
1.0,0.01,1.0,Texas,28.0,28,28,28.0,38.8,39.0,45,0.0,0.0,28.0,28.0,28.0,28.0,41.0,41.0,55.7,55.5,64,29.2,33
1.0,0.05,1.0,Texas,28.0,28,28,28.0,55.6,55.5,62,0.0,0.0,28.0,28.0,28.0,28.0,33.5,33.0,63.9,64.5,69,29.5,35
