alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,14.3,14.0,20,0.0,0.0,28.0,28.0,28.0,28.0,36.3,35.0,39.7,39.0,47,22.1,28
0.5,0.01,1.0,Texas,28.0,28,28,28.0,17.9,18.0,21,0.0,0.0,28.0,28.0,28.0,28.0,36.3,37.5,56.3,58.0,63,30.7,36
0.5,0.05,0.5,Texas,28.0,28,28,28.0,26.2,26.0,35,0.0,0.0,28.0,28.0,28.0,28.0,31.8,31.0,56.5,57.0,64,31.5,37
1.0,0.01,0.5,Texas,28.0,28,28,28.0,20.6,20.5,23,0.0,0.0,28.0,28.0,28.0,28.0,37.3,37.5,64.0,65.0,70,32.5,37
0.5,0.1,0.5,Texas,28.0,28,28,28.0,31.3,31.5,36,0.0,0.0,28.0,28.0,28.0,28.0,30.2,31.0,61.4,62.0,66,34.1,39
0.5,0.01,2.0,Texas,28.0,28,28,28.0,27.5,27.0,36,0.0,0.0,28.0,28.0,28.0,28.0,40.2,39.0,70.5,71.0,77,36.5,42
0.5,0.25,0.5,Texas,28.0,28,28,28.0,33.1,33.0,36,0.0,0.0,28.0,28.0,28.0,28.0,29.8,29.0,64.9,65.5,68,37.2,39
1.0,0.01,1.0,Texas,28.0,28,28,28.0,27.7,28.5,32,0.0,0.0,28.0,28.0,28.0,28.0,39.0,39.0,74.2,74.5,82,38.0,41
0.5,0.05,1.0,Texas,28.0,28,28,28.0,31.6,32.0,35,0.0,0.0,28.0,28.0,28.0,28.0,32.8,31.0,76.1,77.0,83,39.3,43
0.5,0.1,1.0,Texas,28.0,28,28,28.0,34.5,35.0,39,0.0,0.0,28.0,28.0,28.0,28.0,30.8,31.0,83.0,83.0,94,40.4,43
1.0,0.05,0.5,Texas,28.0,28,28,28.0,34.0,34.5,37,0.0,0.0,28.0,28.0,28.0,28.0,32.9,31.0,92.7,93.5,98,40.6,48
0.5,0.25,1.0,Texas,28.0,28,28,28.0,37.1,36.5,40,0.0,0.0,28.0,28.0,28.0,28.0,30.4,31.0,87.3,85.0,95,41.0,44
1.0,0.1,0.5,Texas,28.0,28,28,28.0,37.9,37.5,43,0.0,0.0,28.0,28.0,28.0,28.0,30.6,31.0,97.3,99.0,102,42.4,46
1.0,0.25,0.5,Texas,28.0,28,28,28.0,42.1,43.0,47,0.0,0.0,28.0,28.0,28.0,28.0,30.4,31.0,100.5,99.0,108,42.9,48
2.0,0.01,0.5,Texas,28.0,28,28,28.0,29.3,30.5,35,0.0,0.0,28.0,28.0,28.0,28.0,35.4,36.0,87.8,86.0,99,43.0,50
ALL,ALL,ALL,Texas,28.0,28,28,28.0,36.111111111111114,38.0,54,0.0,0.0,28.0,28.0,28.0,28.0,32.84166666666667,31.0,95.58333333333333,99.0,132,44.35,58
0.5,0.05,2.0,Texas,28.0,28,28,28.0,38.7,39.0,44,0.0,0.0,28.0,28.0,28.0,28.0,32.6,31.0,96.0,96.0,102,45.3,48
1.0,0.01,2.0,Texas,28.0,28,28,28.0,30.7,30.0,40,0.0,0.0,28.0,28.0,28.0,28.0,37.1,39.0,90.2,90.0,100,45.9,49
0.5,0.1,2.0,Texas,28.0,28,28,28.0,41.3,42.0,45,0.0,0.0,28.0,28.0,28.0,28.0,31.6,31.0,103.2,103.0,111,46.6,50
2.0,0.01,2.0,Texas,28.0,28,28,28.0,32.5,33.5,37,0.0,0.0,28.0,28.0,28.0,28.0,38.5,39.0,97.1,96.5,106,47.4,53
0.5,0.25,2.0,Texas,28.0,28,28,28.0,43.2,43.0,47,0.0,0.0,28.0,28.0,28.0,28.0,30.6,31.0,104.2,104.0,112,47.5,52
1.0,0.05,1.0,Texas,28.0,28,28,28.0,38.0,38.0,41,0.0,0.0,28.0,28.0,28.0,28.0,33.6,31.0,98.6,97.0,107,48.1,53
2.0,0.01,1.0,Texas,28.0,28,28,28.0,30.0,30.0,35,0.0,0.0,28.0,28.0,28.0,28.0,39.6,39.0,97.1,99.5,106,48.6,57
2.0,0.1,0.5,Texas,28.0,28,28,28.0,42.1,42.0,45,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,117.2,117.0,124,49.6,53
2.0,0.25,0.5,Texas,28.0,28,28,28.0,45.2,45.0,49,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,118.2,117.5,128,49.7,53
2.0,0.25,2.0,Texas,28.0,28,28,28.0,48.3,48.0,54,0.0,0.0,28.0,28.0,28.0,28.0,29.8,29.0,126.0,127.5,132,49.8,53
1.0,0.25,1.0,Texas,28.0,28,28,28.0,41.8,41.5,47,0.0,0.0,28.0,28.0,28.0,28.0,30.4,31.0,111.9,111.5,118,49.9,56
2.0,0.05,0.5,Texas,28.0,28,28,28.0,40.0,39.5,43,0.0,0.0,28.0,28.0,28.0,28.0,31.9,31.0,111.8,113.0,118,49.9,53
1.0,0.1,1.0,Texas,28.0,28,28,28.0,38.5,38.0,44,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,108.9,111.5,115,50.0,53
2.0,0.05,2.0,Texas,28.0,28,28,28.0,42.5,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,32.6,31.0,121.2,122.0,128,50.8,55
2.0,0.05,1.0,Texas,28.0,28,28,28.0,42.3,42.5,47,0.0,0.0,28.0,28.0,28.0,28.0,33.1,31.0,115.1,116.5,125,50.9,57
2.0,0.25,1.0,Texas,28.0,28,28,28.0,46.7,47.5,49,0.0,0.0,28.0,28.0,28.0,28.0,30.2,31.0,119.8,120.5,124,51.1,54
1.0,0.25,2.0,Texas,28.0,28,28,28.0,45.4,44.5,50,0.0,0.0,28.0,28.0,28.0,28.0,30.4,31.0,120.3,118.5,130,51.5,54
2.0,0.1,2.0,Texas,28.0,28,28,28.0,43.8,44.0,46,0.0,0.0,28.0,28.0,28.0,28.0,30.4,31.0,120.5,121.0,126,52.4,55
1.0,0.1,2.0,Texas,28.0,28,28,28.0,42.4,42.0,45,0.0,0.0,28.0,28.0,28.0,28.0,30.9,31.0,117.5,117.5,130,52.5,55
1.0,0.05,2.0,Texas,28.0,28,28,28.0,39.3,39.5,43,0.0,0.0,28.0,28.0,28.0,28.0,31.7,31.0,112.9,113.0,120,53.4,58
2.0,0.1,1.0,Texas,28.0,28,28,28.0,42.2,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,121.1,122.0,128,53.5,55
1.0,0.1,0.5,Michigan,31.0,31,31,31.0,40.6,40.5,44,0.1,1.0,50.0,50.0,56.3,56.0,65.4,67.0,18.9,18.5,23,19.6,22
0.5,0.1,1.0,Michigan,31.0,31,31,31.0,39.3,39.0,42,0.2,1.0,50.0,50.0,56.6,56.0,64.9,67.5,17.4,18.0,22,19.7,23
0.5,0.25,0.5,Michigan,31.0,31,31,31.0,34.3,34.0,40,0.3,1.0,48.4,50.0,53.1,53.5,58.7,59.5,17.5,17.0,21,21.6,27
1.0,0.25,0.5,Michigan,31.0,31,31,31.0,38.5,38.0,42,0.4,1.0,49.6,50.0,54.9,56.0,59.6,65.0,18.1,19.0,22,22.1,27
0.5,0.25,1.0,Michigan,31.0,31,31,31.0,38.0,37.5,44,0.4,1.0,48.3,50.0,53.9,56.0,55.9,55.0,20.1,21.0,27,22.5,28
2.0,0.1,0.5,Michigan,31.0,31,31,31.0,41.3,40.5,47,0.3,1.0,50.0,50.0,56.6,56.0,63.4,66.0,20.0,20.5,23,22.8,29
2.0,0.1,2.0,Michigan,31.0,31,31,31.0,40.6,39.5,46,0.2,1.0,50.0,50.0,56.0,56.0,63.1,65.0,20.9,22.0,25,23.7,29
1.0,0.25,1.0,Michigan,31.0,31,31,31.0,40.4,40.5,44,0.3,1.0,48.7,50.0,54.9,56.0,58.7,65.0,20.0,19.0,24,24.3,28
