alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,17.7,17.5,23,0.0,0.0,28.0,28.0,28.0,28.0,34.6,33.0,31.6,33.0,37,21.3,26
0.5,0.01,1.0,Texas,28.0,28,28,28.0,28.7,29.0,32,0.0,0.0,28.0,28.0,28.0,28.0,33.4,33.0,41.0,42.0,48,23.5,30
1.0,0.01,0.5,Texas,28.0,28,28,28.0,31.4,30.0,38,0.0,0.0,28.0,28.0,28.0,28.0,33.8,33.0,46.3,45.0,57,24.9,31
0.5,0.05,0.5,Texas,28.0,28,28,28.0,28.3,29.5,33,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,45.0,45.0,47,26.6,33
0.5,0.1,0.5,Texas,28.0,28,28,28.0,30.1,29.5,36,0.0,0.0,28.0,28.0,28.0,28.0,32.7,33.0,46.3,46.0,51,31.2,37
0.5,0.01,2.0,Texas,28.0,28,28,28.0,35.6,35.0,45,0.0,0.0,28.0,28.0,28.0,28.0,34.2,33.0,54.3,56.0,66,32.1,43
0.5,0.05,1.0,Texas,28.0,28,28,28.0,36.4,36.0,44,0.0,0.0,28.0,28.0,28.0,28.0,32.7,33.0,54.4,54.5,60,33.1,38
0.5,0.25,0.5,Texas,28.0,28,28,28.0,29.5,29.0,32,0.0,0.0,28.0,28.0,28.0,28.0,32.7,33.0,49.7,48.5,56,34.6,38
1.0,0.05,0.5,Texas,28.0,28,28,28.0,36.9,36.0,42,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,59.8,58.5,68,35.3,38
1.0,0.01,1.0,Texas,28.0,28,28,28.0,32.2,33.5,38,0.0,0.0,28.0,28.0,28.0,28.0,35.0,35.0,60.0,61.5,70,36.4,41
0.5,0.1,1.0,Texas,28.0,28,28,28.0,37.0,36.5,40,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,53.3,53.0,61,37.1,39
2.0,0.01,0.5,Texas,28.0,28,28,28.0,38.3,38.5,45,0.0,0.0,28.0,28.0,28.0,28.0,34.2,33.0,65.1,64.5,76,37.2,46
0.5,0.05,2.0,Texas,28.0,28,28,28.0,41.4,42.5,45,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,65.7,66.0,70,38.8,45
1.0,0.1,0.5,Texas,28.0,28,28,28.0,38.9,38.5,43,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,59.1,59.5,67,38.9,42
0.5,0.25,1.0,Texas,28.0,28,28,28.0,37.0,37.0,42,0.0,0.0,28.0,28.0,28.0,28.0,32.7,33.0,55.4,55.5,62,40.2,43
