alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,16.4,16.5,21,0.0,0.0,28.0,28.0,28.0,28.0,32.4,34.0,35.0,35.0,40,21.6,27
0.5,0.01,1.0,Texas,28.0,28,28,28.0,27.8,27.5,30,0.0,0.0,28.0,28.0,28.0,28.0,31.9,31.5,44.8,44.0,55,25.6,31
0.5,0.05,0.5,Texas,28.0,28,28,28.0,32.8,32.5,37,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,50.5,51.0,54,29.9,36
0.5,0.01,2.0,Texas,28.0,28,28,28.0,31.7,31.5,40,0.0,0.0,28.0,28.0,28.0,28.0,31.6,29.0,57.3,60.5,63,31.5,37
1.0,0.01,0.5,Texas,28.0,28,28,28.0,26.1,26.5,30,0.0,0.0,28.0,28.0,28.0,28.0,32.1,31.5,51.8,51.0,61,31.6,40
1.0,0.01,1.0,Texas,28.0,28,28,28.0,31.9,32.0,33,0.0,0.0,28.0,28.0,28.0,28.0,31.9,31.5,61.4,63.0,72,33.2,40
0.5,0.1,0.5,Texas,28.0,28,28,28.0,34.7,35.0,38,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,52.8,51.5,57,35.1,39
0.5,0.05,1.0,Texas,28.0,28,28,28.0,38.7,37.5,47,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,59.6,61.0,67,37.3,40
1.0,0.05,0.5,Texas,28.0,28,28,28.0,42.6,42.0,50,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,66.0,66.0,74,38.7,42
1.0,0.01,2.0,Texas,28.0,28,28,28.0,35.8,35.5,40,0.0,0.0,28.0,28.0,28.0,28.0,31.0,29.0,77.6,78.5,89,39.2,47
