alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,17.8,18.5,24,0.0,0.0,28.0,28.0,28.0,28.0,34.5,34.0,31.6,31.0,35,24.3,35
0.5,0.01,1.0,Texas,28.0,28,28,28.0,22.6,23.0,27,0.0,0.0,28.0,28.0,28.0,28.0,35.0,35.0,43.6,41.5,60,27.4,33
0.5,0.1,0.5,Texas,28.0,28,28,28.0,36.0,36.0,40,0.0,0.0,28.0,28.0,28.0,28.0,34.0,34.0,44.7,44.5,51,32.6,39
0.5,0.05,0.5,Texas,28.0,28,28,28.0,31.7,33.0,36,0.0,0.0,28.0,28.0,28.0,28.0,34.0,34.0,41.6,41.5,44,33.1,39
1.0,0.01,0.5,Texas,28.0,28,28,28.0,24.0,25.0,30,0.0,0.0,28.0,28.0,28.0,28.0,35.6,36.0,48.0,47.5,55,33.4,40
0.5,0.01,2.0,Texas,28.0,28,28,28.0,28.7,29.0,32,0.0,0.0,28.0,28.0,28.0,28.0,34.8,34.0,56.5,56.5,67,35.7,42
1.0,0.01,1.0,Texas,28.0,28,28,28.0,27.2,27.0,31,0.0,0.0,28.0,28.0,28.0,28.0,35.0,35.0,60.7,61.5,68,36.2,41
0.5,0.05,1.0,Texas,28.0,28,28,28.0,36.8,37.0,40,0.0,0.0,28.0,28.0,28.0,28.0,33.9,34.0,53.9,54.5,59,36.5,41
0.5,0.25,0.5,Texas,28.0,28,28,28.0,35.4,35.0,40,0.0,0.0,28.0,28.0,28.0,28.0,32.8,32.0,47.7,47.0,52,37.2,42
0.5,0.1,1.0,Texas,28.0,28,28,28.0,40.2,40.5,44,0.0,0.0,28.0,28.0,28.0,28.0,33.7,34.0,58.1,57.0,64,37.8,43
0.5,0.25,1.0,Texas,28.0,28,28,28.0,39.7,40.0,43,0.0,0.0,28.0,28.0,28.0,28.0,33.6,34.0,61.8,62.0,65,40.2,43
2.0,0.01,0.5,Texas,28.0,28,28,28.0,28.5,28.5,37,0.0,0.0,28.0,28.0,28.0,28.0,35.0,35.0,68.8,70.5,77,41.0,47
1.0,0.01,2.0,Texas,28.0,28,28,28.0,31.0,32.5,35,0.0,0.0,28.0,28.0,28.0,28.0,35.4,36.0,74.9,74.5,85,41.3,49
ALL,ALL,ALL,Texas,28.0,28,28,28.0,37.99166666666667,40.0,51,0.0,0.0,28.0,28.0,28.0,28.0,34.0,34.0,70.48055555555555,73.0,100,41.775,54
1.0,0.05,0.5,Texas,28.0,28,28,28.0,37.4,37.0,42,0.0,0.0,28.0,28.0,28.0,28.0,33.5,34.0,62.1,63.0,69,42.8,48
0.5,0.05,2.0,Texas,28.0,28,28,28.0,39.2,38.5,45,0.0,0.0,28.0,28.0,28.0,28.0,34.2,34.0,67.6,69.0,72,43.4,48
2.0,0.01,1.0,Texas,28.0,28,28,28.0,30.9,31.0,39,0.0,0.0,28.0,28.0,28.0,28.0,34.8,35.0,78.8,77.0,90,43.5,52
2.0,0.01,2.0,Texas,28.0,28,28,28.0,32.8,32.0,41,0.0,0.0,28.0,28.0,28.0,28.0,35.4,36.0,77.7,78.5,84,43.9,50
1.0,0.05,1.0,Texas,28.0,28,28,28.0,38.4,39.0,43,0.0,0.0,28.0,28.0,28.0,28.0,34.2,34.0,71.5,71.5,81,44.1,47
0.5,0.1,2.0,Texas,28.0,28,28,28.0,41.6,41.0,48,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.0,71.5,71.5,77,44.4,48
0.5,0.25,2.0,Texas,28.0,28,28,28.0,45.9,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.0,75.1,75.0,81,44.6,47
1.0,0.1,0.5,Texas,28.0,28,28,28.0,39.6,39.0,44,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.0,63.4,64.5,69,44.6,49
1.0,0.1,1.0,Texas,28.0,28,28,28.0,42.1,41.5,47,0.0,0.0,28.0,28.0,28.0,28.0,34.0,34.0,77.4,77.0,84,44.8,50
1.0,0.25,0.5,Texas,28.0,28,28,28.0,43.2,43.0,48,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.0,63.5,62.5,71,44.9,47
1.0,0.05,2.0,Texas,28.0,28,28,28.0,42.2,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,34.2,34.0,85.6,86.0,91,45.0,47
1.0,0.25,1.0,Texas,28.0,28,28,28.0,44.8,45.0,48,0.0,0.0,28.0,28.0,28.0,28.0,33.2,34.0,79.6,79.5,84,45.2,48
1.0,0.1,2.0,Texas,28.0,28,28,28.0,44.6,45.5,49,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.0,86.1,87.0,88,45.6,49
1.0,0.25,2.0,Texas,28.0,28,28,28.0,47.0,47.0,51,0.0,0.0,28.0,28.0,28.0,28.0,33.2,34.0,87.0,87.5,90,45.8,49
2.0,0.1,0.5,Texas,28.0,28,28,28.0,43.8,45.0,47,0.0,0.0,28.0,28.0,28.0,28.0,33.8,34.0,88.6,88.5,96,46.5,49
2.0,0.1,1.0,Texas,28.0,28,28,28.0,43.9,44.5,48,0.0,0.0,28.0,28.0,28.0,28.0,33.8,34.0,88.9,89.0,96,46.7,50
