alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,20.2,20.0,26,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.0,42.9,42.0,49,35.4,39
0.5,0.01,1.0,Texas,28.0,28,28,28.0,27.7,27.5,34,0.0,0.0,28.0,28.0,28.0,28.0,33.6,34.0,59.3,57.5,68,39.5,47
0.5,0.1,0.5,Texas,28.0,28,28,28.0,31.0,32.0,34,0.0,0.0,28.0,28.0,28.0,28.0,30.2,30.0,57.9,58.0,63,41.2,47
0.5,0.25,0.5,Texas,28.0,28,28,28.0,33.0,33.5,36,0.0,0.0,28.0,28.0,28.0,28.0,30.2,30.0,56.6,56.0,60,42.6,47
0.5,0.05,0.5,Texas,28.0,28,28,28.0,28.2,28.0,39,0.0,0.0,28.0,28.0,28.0,28.0,31.2,30.0,59.3,58.5,68,42.7,48
1.0,0.01,0.5,Texas,28.0,28,28,28.0,25.0,25.0,30,0.0,0.0,28.0,28.0,28.0,28.0,33.6,34.0,72.4,73.0,77,44.3,51
1.0,0.01,1.0,Texas,28.0,28,28,28.0,29.8,30.5,35,0.0,0.0,28.0,28.0,28.0,28.0,33.2,34.0,78.7,76.5,87,46.1,50
0.5,0.25,1.0,Texas,28.0,28,28,28.0,40.1,40.0,42,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,69.5,69.0,78,46.9,49
0.5,0.05,1.0,Texas,28.0,28,28,28.0,32.6,33.0,36,0.0,0.0,28.0,28.0,28.0,28.0,30.8,30.0,71.3,72.0,78,47.2,52
0.5,0.01,2.0,Texas,28.0,28,28,28.0,28.2,28.5,31,0.0,0.0,28.0,28.0,28.0,28.0,34.0,34.0,74.7,75.0,86,47.5,51
0.5,0.1,1.0,Texas,28.0,28,28,28.0,35.3,35.0,38,0.0,0.0,28.0,28.0,28.0,28.0,30.4,30.0,72.7,72.5,81,48.5,52
1.0,0.05,0.5,Texas,28.0,28,28,28.0,36.8,37.0,43,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,84.3,85.0,94,51.5,56
1.0,0.1,0.5,Texas,28.0,28,28,28.0,38.3,38.0,46,0.0,0.0,28.0,28.0,28.0,28.0,31.4,30.0,83.9,84.5,88,53.0,56
2.0,0.01,0.5,Texas,28.0,28,28,28.0,28.5,28.0,36,0.0,0.0,28.0,28.0,28.0,28.0,33.4,34.0,85.6,85.5,93,53.3,60
ALL,ALL,ALL,Texas,28.0,28,28,28.0,35.31111111111111,36.0,48,0.0,0.0,28.0,28.0,28.0,28.0,31.355555555555554,30.0,85.01388888888889,87.0,119,53.30833333333333,69
