alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,18.4,18.0,23,0.0,0.0,28.0,28.0,28.0,28.0,37.2,40.0,50.7,50.0,62,20.9,27
0.5,0.1,0.5,Texas,28.0,28,28,28.0,32.0,31.5,35,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,51.7,51.0,59,23.8,27
0.5,0.25,0.5,Texas,28.0,28,28,28.0,36.6,37.0,40,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,52.6,52.5,57,24.3,27
0.5,0.05,0.5,Texas,28.0,28,28,28.0,26.6,27.0,32,0.0,0.0,28.0,28.0,28.0,28.0,33.1,31.0,54.9,55.5,72,26.9,33
0.5,0.01,1.0,Texas,28.0,28,28,28.0,23.5,24.0,28,0.0,0.0,28.0,28.0,28.0,28.0,35.3,32.5,58.4,59.5,70,30.6,37
1.0,0.01,0.5,Texas,28.0,28,28,28.0,26.2,25.0,34,0.0,0.0,28.0,28.0,28.0,28.0,35.8,31.0,66.7,67.5,77,34.2,40
0.5,0.25,1.0,Texas,28.0,28,28,28.0,45.7,46.5,48,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,63.0,63.5,67,34.7,38
0.5,0.1,1.0,Texas,28.0,28,28,28.0,41.1,41.0,45,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,61.9,62.5,68,36.5,40
1.0,0.25,0.5,Texas,28.0,28,28,28.0,48.1,48.5,51,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,72.9,73.5,79,36.6,40
0.5,0.05,1.0,Texas,28.0,28,28,28.0,36.4,35.5,43,0.0,0.0,28.0,28.0,28.0,28.0,32.0,31.0,65.9,68.0,76,37.9,42
0.5,0.01,2.0,Texas,28.0,28,28,28.0,28.3,27.5,38,0.0,0.0,28.0,28.0,28.0,28.0,41.1,41.0,73.6,73.0,82,38.3,45
1.0,0.05,0.5,Texas,28.0,28,28,28.0,39.1,39.0,44,0.0,0.0,28.0,28.0,28.0,28.0,31.6,31.0,72.8,72.5,80,38.4,49
1.0,0.1,0.5,Texas,28.0,28,28,28.0,42.2,41.0,47,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,75.4,74.5,82,39.2,43
1.0,0.01,1.0,Texas,28.0,28,28,28.0,27.7,27.0,31,0.0,0.0,28.0,28.0,28.0,28.0,39.2,41.0,77.0,75.5,87,39.7,47
2.0,0.01,0.5,Texas,28.0,28,28,28.0,31.0,32.0,37,0.0,0.0,28.0,28.0,28.0,28.0,35.6,34.0,83.9,81.5,100,40.2,48
