alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,22.7,21.5,28,0.0,0.0,28.0,28.0,28.0,28.0,59.0,65.0,48.6,48.0,58,24.8,29
0.5,0.05,0.5,Texas,28.0,28,28,28.0,41.3,42.0,45,0.0,0.0,28.0,28.0,28.0,28.0,34.2,33.0,53.8,51.5,63,25.9,31
0.5,0.1,0.5,Texas,28.0,28,28,28.0,42.3,42.5,46,0.0,0.0,28.0,28.0,28.0,28.0,34.2,33.0,52.3,52.0,72,28.3,32
0.5,0.25,0.5,Texas,28.0,28,28,28.0,43.2,43.0,46,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,45.3,45.5,48,29.3,31
0.5,0.01,1.0,Texas,28.0,28,28,28.0,26.1,26.0,30,0.0,0.0,28.0,28.0,28.0,28.0,63.3,68.5,57.3,56.0,65,31.2,37
0.5,0.1,1.0,Texas,28.0,28,28,28.0,48.5,49.0,52,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,61.5,59.0,71,33.0,35
0.5,0.25,1.0,Texas,28.0,28,28,28.0,48.8,48.0,51,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,58.1,58.0,67,33.5,35
0.5,0.05,1.0,Texas,28.0,28,28,28.0,44.2,44.0,48,0.0,0.0,28.0,28.0,28.0,28.0,36.2,33.0,66.8,69.0,74,33.6,36
1.0,0.01,0.5,Texas,28.0,28,28,28.0,32.6,32.0,37,0.0,0.0,28.0,28.0,28.0,28.0,56.0,65.0,70.3,68.5,83,34.5,39
1.0,0.1,0.5,Texas,28.0,28,28,28.0,47.9,48.0,50,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,76.1,75.5,85,37.0,39
1.0,0.25,0.5,Texas,28.0,28,28,28.0,50.2,49.5,54,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,69.8,69.5,73,37.6,41
0.5,0.01,2.0,Texas,28.0,28,28,28.0,35.9,37.0,41,0.0,0.0,28.0,28.0,28.0,28.0,56.8,65.0,74.2,73.0,93,38.4,47
1.0,0.01,1.0,Texas,28.0,28,28,28.0,37.5,37.5,42,0.0,0.0,28.0,28.0,28.0,28.0,54.1,65.0,83.4,83.0,93,38.7,43
ALL,ALL,ALL,Texas,28.0,28,28,28.0,46.87777777777778,49.0,62,0.0,0.0,28.0,28.0,28.0,28.0,38.96388888888889,33.0,81.98611111111111,86.0,122,38.825,53
1.0,0.05,0.5,Texas,28.0,28,28,28.0,43.5,43.5,48,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,76.2,74.0,88,39.4,44
1.0,0.25,1.0,Texas,28.0,28,28,28.0,55.9,56.0,60,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,82.6,81.5,88,39.5,42
1.0,0.1,1.0,Texas,28.0,28,28,28.0,53.6,53.5,58,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,83.5,83.0,93,40.0,44
0.5,0.25,2.0,Texas,28.0,28,28,28.0,52.6,52.0,56,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,73.7,73.0,81,40.3,44
2.0,0.25,0.5,Texas,28.0,28,28,28.0,56.6,56.5,59,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,92.6,92.5,100,40.5,43
2.0,0.1,0.5,Texas,28.0,28,28,28.0,55.3,55.0,60,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,102.2,97.5,121,41.0,45
1.0,0.25,2.0,Texas,28.0,28,28,28.0,57.6,57.5,60,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,90.0,90.5,95,41.1,45
2.0,0.25,1.0,Texas,28.0,28,28,28.0,57.7,58.0,60,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,94.5,95.0,100,41.1,44
1.0,0.05,1.0,Texas,28.0,28,28,28.0,51.4,52.0,57,0.0,0.0,28.0,28.0,28.0,28.0,37.4,33.0,92.5,92.5,104,41.2,48
2.0,0.25,2.0,Texas,28.0,28,28,28.0,59.5,59.5,62,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,93.5,94.5,103,41.4,43
1.0,0.1,2.0,Texas,28.0,28,28,28.0,55.2,55.5,59,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,94.7,93.0,102,41.7,45
