alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,21.6,22.0,24,0.0,0.0,28.0,28.0,28.0,28.0,34.4,35.0,31.1,30.5,37,18.1,21
0.5,0.05,0.5,Texas,28.0,28,28,28.0,28.9,29.5,33,0.0,0.0,28.0,28.0,28.0,28.0,30.8,29.0,36.2,36.5,42,26.8,29
0.5,0.01,1.0,Texas,28.0,28,28,28.0,26.2,26.0,30,0.0,0.0,28.0,28.0,28.0,28.0,33.2,35.0,40.9,42.0,46,27.2,32
0.5,0.1,0.5,Texas,28.0,28,28,28.0,31.4,31.5,36,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,38.7,38.5,44,29.7,34
0.5,0.25,0.5,Texas,28.0,28,28,28.0,33.2,34.0,34,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,37.5,36.5,40,31.7,34
1.0,0.01,0.5,Texas,28.0,28,28,28.0,27.8,29.0,34,0.0,0.0,28.0,28.0,28.0,28.0,32.4,32.0,49.2,49.5,57,32.8,41
1.0,0.05,0.5,Texas,28.0,28,28,28.0,41.3,42.5,46,0.0,0.0,28.0,28.0,28.0,28.0,29.6,29.0,53.3,53.0,59,35.3,39
0.5,0.05,1.0,Texas,28.0,28,28,28.0,36.7,37.5,40,0.0,0.0,28.0,28.0,28.0,28.0,30.5,29.0,50.6,49.5,56,35.3,39
0.5,0.1,1.0,Texas,28.0,28,28,28.0,40.9,40.5,45,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,47.1,47.0,53,35.5,39
1.0,0.1,0.5,Texas,28.0,28,28,28.0,42.7,42.5,46,0.0,0.0,28.0,28.0,28.0,28.0,29.9,29.0,54.6,54.5,63,35.9,39
0.5,0.25,1.0,Texas,28.0,28,28,28.0,41.9,42.5,44,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,45.7,45.5,52,36.0,39
