alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,23.1,24.0,28,0.0,0.0,28.0,28.0,28.0,28.0,39.5,41.5,34.5,35.5,40,19.0,22
0.5,0.01,1.0,Texas,28.0,28,28,28.0,29.2,30.0,33,0.0,0.0,28.0,28.0,28.0,28.0,38.5,41.0,47.4,46.0,59,23.4,25
0.5,0.1,0.5,Texas,28.0,28,28,28.0,36.3,37.0,39,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,45.1,44.5,53,23.5,26
0.5,0.05,0.5,Texas,28.0,28,28,28.0,34.9,34.0,40,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,47.7,48.0,53,24.2,27
0.5,0.25,0.5,Texas,28.0,28,28,28.0,38.1,38.5,41,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,45.3,45.5,48,24.2,26
1.0,0.01,0.5,Texas,28.0,28,28,28.0,32.0,32.5,38,0.0,0.0,28.0,28.0,28.0,28.0,37.7,40.5,59.2,58.0,83,25.8,33
0.5,0.01,2.0,Texas,28.0,28,28,28.0,36.6,37.0,40,0.0,0.0,28.0,28.0,28.0,28.0,37.5,40.0,67.9,68.0,73,29.7,37
0.5,0.05,1.0,Texas,28.0,28,28,28.0,45.1,44.5,52,0.0,0.0,28.0,28.0,28.0,28.0,30.2,29.0,56.8,58.0,62,30.2,35
0.5,0.1,1.0,Texas,28.0,28,28,28.0,48.9,48.5,53,0.0,0.0,28.0,28.0,28.0,28.0,29.4,29.0,56.4,56.5,64,30.4,36
0.5,0.25,1.0,Texas,28.0,28,28,28.0,51.2,51.5,54,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,55.3,55.0,59,30.8,33
1.0,0.01,1.0,Texas,28.0,28,28,28.0,37.4,36.5,42,0.0,0.0,28.0,28.0,28.0,28.0,38.9,40.5,76.7,79.5,87,33.0,37
1.0,0.1,0.5,Texas,28.0,28,28,28.0,51.3,51.0,55,0.0,0.0,28.0,28.0,28.0,28.0,29.8,29.0,65.3,64.5,72,33.8,39
1.0,0.25,0.5,Texas,28.0,28,28,28.0,54.0,54.0,55,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,63.5,64.0,70,34.6,38
1.0,0.05,0.5,Texas,28.0,28,28,28.0,47.4,48.0,54,0.0,0.0,28.0,28.0,28.0,28.0,29.6,29.0,67.0,66.5,78,34.7,42
2.0,0.01,0.5,Texas,28.0,28,28,28.0,40.7,40.5,47,0.0,0.0,28.0,28.0,28.0,28.0,39.0,41.0,83.4,83.0,93,35.3,41
ALL,ALL,ALL,Texas,28.0,28,28,28.0,47.46944444444444,50.0,63,0.0,0.0,28.0,28.0,28.0,28.0,31.775,29.0,72.15,76.0,102,35.38333333333333,52
1.0,0.01,2.0,Texas,28.0,28,28,28.0,40.7,41.0,44,0.0,0.0,28.0,28.0,28.0,28.0,34.7,31.0,79.8,78.5,93,36.9,39
0.5,0.25,2.0,Texas,28.0,28,28,28.0,56.8,57.0,60,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,68.2,67.5,74,37.2,40
2.0,0.01,1.0,Texas,28.0,28,28,28.0,41.2,41.5,45,0.0,0.0,28.0,28.0,28.0,28.0,38.7,42.0,84.1,83.0,102,37.3,42
1.0,0.25,1.0,Texas,28.0,28,28,28.0,57.0,56.5,61,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,77.5,78.5,81,37.4,42
2.0,0.25,0.5,Texas,28.0,28,28,28.0,58.9,58.0,63,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,81.7,82.0,87,37.7,43
2.0,0.1,0.5,Texas,28.0,28,28,28.0,54.4,54.5,57,0.0,0.0,28.0,28.0,28.0,28.0,29.6,29.0,83.9,85.5,88,37.8,41
1.0,0.1,1.0,Texas,28.0,28,28,28.0,54.2,54.0,60,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,76.4,76.0,81,37.9,42
0.5,0.1,2.0,Texas,28.0,28,28,28.0,53.1,53.0,56,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,69.8,71.5,74,38.3,41
1.0,0.05,1.0,Texas,28.0,28,28,28.0,50.9,50.0,57,0.0,0.0,28.0,28.0,28.0,28.0,30.9,30.0,81.4,81.0,93,38.6,42
2.0,0.01,2.0,Texas,28.0,28,28,28.0,41.8,43.0,47,0.0,0.0,28.0,28.0,28.0,28.0,37.9,40.5,86.1,89.0,94,38.6,45
0.5,0.05,2.0,Texas,28.0,28,28,28.0,48.3,48.5,53,0.0,0.0,28.0,28.0,28.0,28.0,30.2,29.0,74.1,72.5,81,38.7,42
1.0,0.1,2.0,Texas,28.0,28,28,28.0,55.4,56.0,60,0.0,0.0,28.0,28.0,28.0,28.0,29.6,29.0,82.3,82.0,90,40.7,46
