alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,27.3,29.0,33,0.0,0.0,28.0,28.0,28.0,28.0,29.8,29.0,40.5,41.5,45,21.9,26
0.5,0.01,1.0,Texas,28.0,28,28,28.0,33.7,32.5,43,0.0,0.0,28.0,28.0,28.0,28.0,31.6,29.0,56.7,58.0,62,25.8,33
1.0,0.01,0.5,Texas,28.0,28,28,28.0,35.8,37.0,42,0.0,0.0,28.0,28.0,28.0,28.0,32.9,29.0,64.6,66.0,68,28.7,34
0.5,0.05,0.5,Texas,28.0,28,28,28.0,38.8,38.5,43,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,53.2,54.0,59,32.0,36
0.5,0.05,1.0,Texas,28.0,28,28,28.0,45.3,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,65.7,65.5,73,32.3,36
0.5,0.01,2.0,Texas,28.0,28,28,28.0,42.5,43.5,50,0.0,0.0,28.0,28.0,28.0,28.0,33.7,29.0,68.0,68.5,74,34.2,39
0.5,0.1,0.5,Texas,28.0,28,28,28.0,40.1,39.5,45,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,54.4,54.0,61,34.6,39
1.0,0.01,1.0,Texas,28.0,28,28,28.0,43.1,42.0,49,0.0,0.0,28.0,28.0,28.0,28.0,31.9,29.0,70.0,69.0,80,35.7,41
1.0,0.05,0.5,Texas,28.0,28,28,28.0,46.6,46.0,50,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,75.2,77.5,83,36.2,39
0.5,0.1,1.0,Texas,28.0,28,28,28.0,45.5,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,29.0,29.0,63.1,62.5,68,36.4,40
2.0,0.01,0.5,Texas,28.0,28,28,28.0,42.5,43.5,48,0.0,0.0,28.0,28.0,28.0,28.0,31.1,29.0,88.4,89.0,95,36.5,42
