alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,18.3,19.0,21,0.0,0.0,28.0,28.0,28.0,28.0,33.7,33.5,40.5,40.5,43,15.2,19
0.5,0.01,1.0,Texas,28.0,28,28,28.0,23.6,23.0,29,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,46.9,46.0,57,20.7,25
0.5,0.05,0.5,Texas,28.0,28,28,28.0,29.9,30.0,33,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,61.2,61.0,68,20.8,23
0.5,0.1,0.5,Texas,28.0,28,28,28.0,33.0,33.0,35,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,66.7,66.5,71,22.5,25
0.5,0.05,1.0,Texas,28.0,28,28,28.0,37.8,37.5,43,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,69.2,68.0,76,25.3,31
0.5,0.25,0.5,Texas,28.0,28,28,28.0,34.3,34.0,36,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,70.7,70.0,74,25.5,27
0.5,0.1,1.0,Texas,28.0,28,28,28.0,40.5,40.5,44,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,73.8,73.5,78,26.6,29
1.0,0.01,0.5,Texas,28.0,28,28,28.0,25.6,25.5,32,0.0,0.0,28.0,28.0,28.0,28.0,33.1,32.0,54.3,54.0,63,28.2,35
1.0,0.05,0.5,Texas,28.0,28,28,28.0,39.0,39.0,41,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,76.5,75.5,83,29.4,33
0.5,0.25,1.0,Texas,28.0,28,28,28.0,42.5,42.0,45,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,76.8,77.0,80,30.4,33
1.0,0.1,0.5,Texas,28.0,28,28,28.0,41.9,42.5,44,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,79.4,80.0,84,31.1,35
0.5,0.01,2.0,Texas,28.0,28,28,28.0,32.9,33.0,39,0.0,0.0,28.0,28.0,28.0,28.0,33.4,32.0,65.3,65.5,76,31.5,35
1.0,0.01,1.0,Texas,28.0,28,28,28.0,32.6,32.5,37,0.0,0.0,28.0,28.0,28.0,28.0,33.5,32.0,69.8,69.0,80,31.8,36
2.0,0.01,0.5,Texas,28.0,28,28,28.0,35.2,34.5,40,0.0,0.0,28.0,28.0,28.0,28.0,34.1,34.0,82.0,82.5,89,32.9,39
ALL,ALL,ALL,Texas,28.0,28,28,28.0,41.59166666666667,43.0,57,0.0,0.0,28.0,28.0,28.0,28.0,32.28055555555556,32.0,85.63055555555556,86.0,117,33.71666666666667,47
1.0,0.05,1.0,Texas,28.0,28,28,28.0,44.2,44.5,47,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,87.5,87.5,92,35.3,38
1.0,0.01,2.0,Texas,28.0,28,28,28.0,33.7,33.0,40,0.0,0.0,28.0,28.0,28.0,28.0,32.8,32.0,87.2,89.0,92,35.6,41
0.5,0.05,2.0,Texas,28.0,28,28,28.0,42.3,42.0,45,0.0,0.0,28.0,28.0,28.0,28.0,32.3,32.0,78.8,79.5,89,35.7,38
1.0,0.25,0.5,Texas,28.0,28,28,28.0,42.1,41.5,45,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,83.6,83.5,87,36.1,38
1.0,0.1,1.0,Texas,28.0,28,28,28.0,47.0,47.0,50,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,91.3,92.0,93,36.1,39
0.5,0.1,2.0,Texas,28.0,28,28,28.0,46.3,46.0,49,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,84.4,84.0,89,36.2,42
2.0,0.01,1.0,Texas,28.0,28,28,28.0,35.0,35.5,40,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,89.1,90.5,100,36.7,41
