alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,18.8,19.0,25,0.0,0.0,28.0,28.0,28.0,28.0,33.6,34.0,46.5,45.0,58,27.1,34
0.5,0.05,0.5,Texas,28.0,28,28,28.0,31.6,31.5,37,0.0,0.0,28.0,28.0,28.0,28.0,31.6,32.0,60.6,60.0,67,37.7,41
0.5,0.01,1.0,Texas,28.0,28,28,28.0,24.3,23.5,31,0.0,0.0,28.0,28.0,28.0,28.0,34.3,34.0,58.5,59.0,65,38.1,43
0.5,0.1,0.5,Texas,28.0,28,28,28.0,33.8,33.0,39,0.0,0.0,28.0,28.0,28.0,28.0,28.8,28.0,69.5,70.0,76,40.6,44
0.5,0.25,0.5,Texas,28.0,28,28,28.0,36.4,37.0,39,0.0,0.0,28.0,28.0,28.0,28.0,28.4,28.0,73.5,73.0,78,43.2,46
1.0,0.01,0.5,Texas,28.0,28,28,28.0,25.5,25.5,31,0.0,0.0,28.0,28.0,28.0,28.0,32.4,34.0,72.5,70.0,91,44.1,48
0.5,0.01,2.0,Texas,28.0,28,28,28.0,29.5,29.0,36,0.0,0.0,28.0,28.0,28.0,28.0,34.9,34.0,78.6,80.5,90,46.1,50
1.0,0.01,1.0,Texas,28.0,28,28,28.0,28.3,29.0,34,0.0,0.0,28.0,28.0,28.0,28.0,33.1,34.0,86.7,84.5,103,48.1,52
0.5,0.1,1.0,Texas,28.0,28,28,28.0,38.4,38.0,42,0.0,0.0,28.0,28.0,28.0,28.0,29.8,30.0,80.1,80.0,84,49.1,52
1.0,0.05,0.5,Texas,28.0,28,28,28.0,37.1,37.5,41,0.0,0.0,28.0,28.0,28.0,28.0,31.4,31.0,89.1,89.0,99,49.6,53
0.5,0.25,1.0,Texas,28.0,28,28,28.0,40.5,40.0,45,0.0,0.0,28.0,28.0,28.0,28.0,29.2,30.0,85.5,86.5,92,49.8,54
0.5,0.05,1.0,Texas,28.0,28,28,28.0,34.0,35.0,38,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,78.1,76.0,84,50.1,56
1.0,0.1,0.5,Texas,28.0,28,28,28.0,39.7,40.0,45,0.0,0.0,28.0,28.0,28.0,28.0,29.2,29.0,89.8,90.0,99,50.3,58
1.0,0.25,0.5,Texas,28.0,28,28,28.0,41.5,42.0,44,0.0,0.0,28.0,28.0,28.0,28.0,28.6,28.0,94.6,95.5,102,51.2,56
ALL,ALL,ALL,Texas,28.0,28,28,28.0,35.958333333333336,37.0,48,0.0,0.0,28.0,28.0,28.0,28.0,30.636111111111113,30.0,91.34444444444445,94.0,117,51.977777777777774,66
2.0,0.01,0.5,Texas,28.0,28,28,28.0,29.2,29.0,32,0.0,0.0,28.0,28.0,28.0,28.0,32.6,33.0,90.7,90.5,103,52.3,61
1.0,0.01,2.0,Texas,28.0,28,28,28.0,30.4,30.5,34,0.0,0.0,28.0,28.0,28.0,28.0,33.6,34.0,97.4,98.5,110,52.7,59
0.5,0.25,2.0,Texas,28.0,28,28,28.0,43.5,43.5,48,0.0,0.0,28.0,28.0,28.0,28.0,28.2,28.0,96.3,95.5,101,53.8,57
0.5,0.05,2.0,Texas,28.0,28,28,28.0,36.7,36.5,42,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,93.4,93.0,106,54.1,58
1.0,0.05,1.0,Texas,28.0,28,28,28.0,37.9,37.0,43,0.0,0.0,28.0,28.0,28.0,28.0,30.0,30.0,93.2,93.0,99,54.2,58
2.0,0.01,1.0,Texas,28.0,28,28,28.0,31.0,31.0,36,0.0,0.0,28.0,28.0,28.0,28.0,34.7,34.0,97.5,98.5,111,54.6,62
0.5,0.1,2.0,Texas,28.0,28,28,28.0,39.4,39.0,44,0.0,0.0,28.0,28.0,28.0,28.0,29.8,30.0,91.8,92.5,100,54.7,58
2.0,0.01,2.0,Texas,28.0,28,28,28.0,33.3,34.0,38,0.0,0.0,28.0,28.0,28.0,28.0,34.1,34.0,95.6,93.0,113,55.0,58
