alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,29.5,29.0,35,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,37.2,35.5,47,26.2,31
0.5,0.01,1.0,Texas,28.0,28,28,28.0,32.9,31.5,40,0.0,0.0,28.0,28.0,28.0,28.0,32.8,33.0,50.9,48.5,62,28.7,33
0.5,0.25,0.5,Texas,28.0,28,28,28.0,48.9,48.5,52,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,51.6,52.0,54,31.2,34
0.5,0.05,0.5,Texas,28.0,28,28,28.0,43.2,44.0,47,0.0,0.0,28.0,28.0,28.0,28.0,31.6,31.0,49.0,49.0,57,32.6,37
0.5,0.1,0.5,Texas,28.0,28,28,28.0,46.3,46.5,50,0.0,0.0,28.0,28.0,28.0,28.0,31.6,31.0,48.2,48.5,51,33.0,36
1.0,0.01,0.5,Texas,28.0,28,28,28.0,35.3,36.5,41,0.0,0.0,28.0,28.0,28.0,28.0,32.8,33.0,56.0,56.0,66,33.1,37
0.5,0.01,2.0,Texas,28.0,28,28,28.0,39.0,40.0,44,0.0,0.0,28.0,28.0,28.0,28.0,32.8,33.0,58.9,59.5,71,36.6,43
0.5,0.1,1.0,Texas,28.0,28,28,28.0,50.7,50.0,55,0.0,0.0,28.0,28.0,28.0,28.0,31.4,31.0,62.9,63.5,65,36.7,41
0.5,0.05,1.0,Texas,28.0,28,28,28.0,45.3,46.0,48,0.0,0.0,28.0,28.0,28.0,28.0,31.8,31.0,60.7,59.5,69,37.7,43
0.5,0.25,1.0,Texas,28.0,28,28,28.0,53.4,54.5,57,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,62.6,62.0,67,38.0,42
1.0,0.01,1.0,Texas,28.0,28,28,28.0,38.8,38.5,46,0.0,0.0,28.0,28.0,28.0,28.0,33.0,33.0,63.3,65.0,72,39.1,44
1.0,0.1,0.5,Texas,28.0,28,28,28.0,51.4,51.0,54,0.0,0.0,28.0,28.0,28.0,28.0,31.6,31.0,65.6,65.5,69,40.5,43
1.0,0.25,0.5,Texas,28.0,28,28,28.0,53.5,53.5,57,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,66.8,67.5,71,40.9,45
ALL,ALL,ALL,Texas,28.0,28,28,28.0,48.230555555555554,50.0,62,0.0,0.0,28.0,28.0,28.0,28.0,31.788888888888888,31.0,72.41944444444445,75.0,100,41.30555555555556,54
1.0,0.05,0.5,Texas,28.0,28,28,28.0,47.4,46.0,54,0.0,0.0,28.0,28.0,28.0,28.0,32.6,33.0,62.8,64.0,66,42.1,48
