alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,23.4,23.0,30,0.0,0.0,28.0,28.0,28.0,28.0,51.6,51.0,41.2,42.0,48,20.5,25
0.5,0.01,1.0,Texas,28.0,28,28,28.0,31.0,30.5,41,0.0,0.0,28.0,28.0,28.0,28.0,46.3,39.5,50.1,50.0,60,24.5,30
1.0,0.01,0.5,Texas,28.0,28,28,28.0,35.0,35.0,41,0.0,0.0,28.0,28.0,28.0,28.0,47.4,51.0,56.7,58.0,64,27.5,36
0.5,0.01,2.0,Texas,28.0,28,28,28.0,41.3,42.0,46,0.0,0.0,28.0,28.0,28.0,28.0,53.4,51.0,63.5,62.5,71,29.3,36
1.0,0.01,1.0,Texas,28.0,28,28,28.0,41.1,40.0,50,0.0,0.0,28.0,28.0,28.0,28.0,47.5,51.0,64.7,65.5,75,32.4,39
0.5,0.05,0.5,Texas,28.0,28,28,28.0,37.6,38.5,41,0.0,0.0,28.0,28.0,28.0,28.0,41.9,41.0,52.6,52.5,59,34.0,38
2.0,0.01,0.5,Texas,28.0,28,28,28.0,41.3,41.0,46,0.0,0.0,28.0,28.0,28.0,28.0,58.9,65.0,76.8,76.5,85,35.5,39
0.5,0.1,0.5,Texas,28.0,28,28,28.0,41.2,39.0,49,0.0,0.0,28.0,28.0,28.0,28.0,37.7,38.0,54.5,55.0,60,35.6,40
0.5,0.25,0.5,Texas,28.0,28,28,28.0,43.6,43.0,51,0.0,0.0,28.0,28.0,28.0,28.0,38.0,38.0,46.9,47.0,51,36.4,40
0.5,0.05,1.0,Texas,28.0,28,28,28.0,42.4,43.0,48,0.0,0.0,28.0,28.0,28.0,28.0,41.1,39.5,64.1,67.0,69,37.4,45
0.5,0.1,1.0,Texas,28.0,28,28,28.0,45.6,45.0,51,0.0,0.0,28.0,28.0,28.0,28.0,38.3,38.0,64.0,65.0,70,38.6,42
1.0,0.01,2.0,Texas,28.0,28,28,28.0,40.3,40.0,46,0.0,0.0,28.0,28.0,28.0,28.0,50.0,51.0,79.2,79.5,84,38.8,44
1.0,0.05,0.5,Texas,28.0,28,28,28.0,43.5,44.5,48,0.0,0.0,28.0,28.0,28.0,28.0,40.0,38.0,71.0,72.0,77,38.9,43
2.0,0.01,1.0,Texas,28.0,28,28,28.0,42.3,42.5,50,0.0,0.0,28.0,28.0,28.0,28.0,51.2,51.0,83.5,82.0,100,39.8,47
ALL,ALL,ALL,Texas,28.0,28,28,28.0,44.75,46.0,58,0.0,0.0,28.0,28.0,28.0,28.0,41.53333333333333,38.0,74.79444444444445,76.0,109,39.91388888888889,54
1.0,0.05,1.0,Texas,28.0,28,28,28.0,46.9,46.0,53,0.0,0.0,28.0,28.0,28.0,28.0,39.0,38.0,78.3,78.5,87,40.4,47
2.0,0.01,2.0,Texas,28.0,28,28,28.0,42.6,42.5,50,0.0,0.0,28.0,28.0,28.0,28.0,49.2,51.0,83.5,84.0,93,41.0,44
1.0,0.1,1.0,Texas,28.0,28,28,28.0,49.4,48.5,54,0.0,0.0,28.0,28.0,28.0,28.0,37.7,38.0,77.3,77.5,84,41.3,47
1.0,0.1,0.5,Texas,28.0,28,28,28.0,47.2,47.0,54,0.0,0.0,28.0,28.0,28.0,28.0,39.0,38.0,71.4,72.5,80,41.4,46
