alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,17.5,16.5,27,0.0,0.0,28.0,28.0,28.0,28.0,35.4,33.0,44.4,43.0,51,31.1,38
0.5,0.25,0.5,Texas,28.0,28,28,28.0,39.2,39.5,44,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,65.8,66.0,71,37.9,41
0.5,0.01,1.0,Texas,28.0,28,28,28.0,22.7,22.5,26,0.0,0.0,28.0,28.0,28.0,28.0,34.5,33.0,64.9,66.0,70,38.1,44
0.5,0.1,0.5,Texas,28.0,28,28,28.0,34.5,34.0,39,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,68.0,68.5,74,39.2,41
0.5,0.05,0.5,Texas,28.0,28,28,28.0,30.6,31.0,34,0.0,0.0,28.0,28.0,28.0,28.0,32.4,32.0,64.5,64.5,70,39.7,45
1.0,0.01,0.5,Texas,28.0,28,28,28.0,22.7,22.5,28,0.0,0.0,28.0,28.0,28.0,28.0,34.6,33.0,69.9,69.0,81,41.7,46
0.5,0.01,2.0,Texas,28.0,28,28,28.0,28.3,28.0,37,0.0,0.0,28.0,28.0,28.0,28.0,38.8,33.0,79.6,77.5,93,43.2,49
0.5,0.05,1.0,Texas,28.0,28,28,28.0,31.6,31.5,38,0.0,0.0,28.0,28.0,28.0,28.0,32.2,32.0,79.4,78.0,88,44.4,49
1.0,0.01,1.0,Texas,28.0,28,28,28.0,29.5,29.5,35,0.0,0.0,28.0,28.0,28.0,28.0,37.6,33.0,85.6,85.5,98,44.8,50
2.0,0.01,0.5,Texas,28.0,28,28,28.0,33.9,34.0,38,0.0,0.0,28.0,28.0,28.0,28.0,38.8,33.0,90.4,90.0,100,45.2,51
0.5,0.25,1.0,Texas,28.0,28,28,28.0,39.5,39.0,44,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,77.2,77.0,84,45.6,48
0.5,0.25,2.0,Texas,28.0,28,28,28.0,46.5,46.0,53,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,89.5,90.0,95,45.7,50
1.0,0.25,0.5,Texas,28.0,28,28,28.0,41.6,41.5,46,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,85.8,86.5,90,45.9,50
0.5,0.1,2.0,Texas,28.0,28,28,28.0,44.0,43.5,49,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,95.3,95.0,102,46.3,50
1.0,0.1,0.5,Texas,28.0,28,28,28.0,37.2,36.5,45,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,84.1,84.5,90,47.3,54
2.0,0.01,1.0,Texas,28.0,28,28,28.0,31.8,31.5,40,0.0,0.0,28.0,28.0,28.0,28.0,36.9,33.0,104.7,103.0,120,47.6,54
ALL,ALL,ALL,Texas,28.0,28,28,28.0,37.291666666666664,39.0,53,0.0,0.0,28.0,28.0,28.0,28.0,33.53888888888889,32.0,92.20833333333333,95.0,127,47.65833333333333,60
1.0,0.05,0.5,Texas,28.0,28,28,28.0,32.9,33.5,35,0.0,0.0,28.0,28.0,28.0,28.0,33.0,32.0,86.9,87.5,95,47.8,51
1.0,0.01,2.0,Texas,28.0,28,28,28.0,29.8,31.5,40,0.0,0.0,28.0,28.0,28.0,28.0,40.5,33.0,102.4,103.5,111,47.8,57
0.5,0.05,2.0,Texas,28.0,28,28,28.0,39.7,40.0,45,0.0,0.0,28.0,28.0,28.0,28.0,32.4,32.0,93.1,92.5,102,48.2,54
0.5,0.1,1.0,Texas,28.0,28,28,28.0,32.4,32.0,36,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,81.2,82.5,85,48.7,53
2.0,0.01,2.0,Texas,28.0,28,28,28.0,32.4,34.0,37,0.0,0.0,28.0,28.0,28.0,28.0,42.0,33.0,112.6,112.5,124,49.7,56
1.0,0.25,2.0,Texas,28.0,28,28,28.0,48.2,49.0,50,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,103.7,103.5,111,50.0,54
1.0,0.25,1.0,Texas,28.0,28,28,28.0,45.0,45.5,48,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,95.4,95.5,102,50.8,57
1.0,0.05,1.0,Texas,28.0,28,28,28.0,38.4,38.5,47,0.0,0.0,28.0,28.0,28.0,28.0,32.4,32.0,96.6,97.5,104,50.9,53
2.0,0.25,1.0,Texas,28.0,28,28,28.0,48.2,48.5,53,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,109.4,110.0,115,52.0,55
2.0,0.25,0.5,Texas,28.0,28,28,28.0,45.9,45.5,52,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,100.6,100.0,105,52.2,57
1.0,0.1,2.0,Texas,28.0,28,28,28.0,43.3,42.5,48,0.0,0.0,28.0,28.0,28.0,28.0,32.1,32.0,104.8,103.0,116,52.2,55
1.0,0.05,2.0,Texas,28.0,28,28,28.0,40.6,40.5,47,0.0,0.0,28.0,28.0,28.0,28.0,32.6,33.0,107.1,106.5,112,52.3,55
1.0,0.1,1.0,Texas,28.0,28,28,28.0,41.2,40.5,46,0.0,0.0,28.0,28.0,28.0,28.0,32.1,32.0,98.0,97.5,105,52.4,56
2.0,0.1,1.0,Texas,28.0,28,28,28.0,44.0,43.0,49,0.0,0.0,28.0,28.0,28.0,28.0,32.1,32.0,111.6,112.0,116,52.8,57
2.0,0.05,0.5,Texas,28.0,28,28,28.0,39.2,40.5,42,0.0,0.0,28.0,28.0,28.0,28.0,32.3,32.0,106.2,106.5,116,53.0,60
2.0,0.05,1.0,Texas,28.0,28,28,28.0,39.5,38.5,44,0.0,0.0,28.0,28.0,28.0,28.0,32.4,32.0,113.4,112.0,121,53.1,57
2.0,0.25,2.0,Texas,28.0,28,28,28.0,47.2,47.0,51,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,109.6,109.5,114,53.8,58
2.0,0.1,0.5,Texas,28.0,28,28,28.0,41.4,41.0,47,0.0,0.0,28.0,28.0,28.0,28.0,32.1,32.0,103.5,104.0,107,54.1,57
2.0,0.1,2.0,Texas,28.0,28,28,28.0,41.9,41.5,46,0.0,0.0,28.0,28.0,28.0,28.0,32.0,32.0,116.3,116.0,125,54.8,57
2.0,0.05,2.0,Texas,28.0,28,28,28.0,40.2,40.5,45,0.0,0.0,28.0,28.0,28.0,28.0,32.2,32.0,118.0,117.0,127,55.4,60
0.5,0.1,0.5,Iowa,32.0,32,32,32.0,27.8,27.5,32,0.0,0.0,45.8,44.5,49.4,49.0,36.1,28.0,89.6,88.5,105,51.6,54
0.5,0.25,0.5,Iowa,32.0,32,32,32.0,29.4,30.0,33,0.0,0.0,45.6,45.0,49.4,51.0,28.0,28.0,94.7,92.5,103,51.7,55
1.0,0.25,0.5,Iowa,32.0,32,32,32.0,30.5,30.0,34,0.0,0.0,44.2,44.5,47.2,46.0,28.0,28.0,103.0,102.5,112,55.2,58
0.5,0.25,1.0,Iowa,32.0,32,32,32.0,29.1,29.5,34,0.0,0.0,43.6,43.5,46.6,45.0,28.0,28.0,107.2,105.5,122,56.3,61
0.5,0.1,2.0,Iowa,32.0,32,32,32.0,29.7,30.0,31,0.0,0.0,46.9,46.0,51.1,51.0,28.0,28.0,107.7,108.0,114,56.5,59
0.5,0.25,2.0,Iowa,32.0,32,32,32.0,29.9,30.0,36,0.0,0.0,42.7,42.5,44.7,44.5,28.0,28.0,111.1,110.0,126,56.8,62
1.0,0.25,1.0,Iowa,32.0,32,32,32.0,28.5,29.0,31,0.0,0.0,43.8,44.0,46.2,45.5,28.0,28.0,115.8,117.5,129,58.2,64
2.0,0.25,1.0,Iowa,32.0,32,32,32.0,28.5,29.0,34,0.0,0.0,43.7,44.0,45.6,46.0,28.0,28.0,121.1,119.5,132,58.5,62
2.0,0.25,2.0,Iowa,32.0,32,32,32.0,28.6,28.5,32,0.0,0.0,43.8,44.0,46.3,45.5,28.0,28.0,121.8,121.5,132,58.6,63
2.0,0.25,0.5,Iowa,32.0,32,32,32.0,28.1,28.0,33,0.0,0.0,43.0,44.0,46.9,46.0,28.0,28.0,115.5,115.0,132,59.2,64
1.0,0.25,2.0,Iowa,32.0,32,32,32.0,27.7,28.0,31,0.0,0.0,44.0,43.0,46.8,45.5,28.0,28.0,118.8,122.0,131,59.7,64
2.0,0.1,2.0,Iowa,32.0,32,32,32.0,26.7,27.0,29,0.0,0.0,49.6,52.0,53.3,54.0,28.0,28.0,118.0,117.5,135,60.3,63
0.5,0.05,0.5,Colorado,33.0,33,33,33.0,17.5,18.0,19,0.0,0.0,47.8,47.0,56.3,55.0,28.0,28.0,22.0,21.5,26,4.7,6
0.5,0.25,0.5,Colorado,33.0,33,33,33.0,21.1,20.5,23,0.0,0.0,47.0,47.0,55.0,55.0,28.0,28.0,24.1,23.5,27,4.7,6
1.0,0.25,0.5,Colorado,33.0,33,33,33.0,25.9,26.0,26,0.0,0.0,47.0,47.0,55.0,55.0,28.0,28.0,26.3,26.0,31,5.0,6
0.5,0.25,1.0,Colorado,33.0,33,33,33.0,22.3,22.5,23,0.0,0.0,47.0,47.0,55.0,55.0,28.0,28.0,26.1,26.0,28,5.2,6
0.5,0.1,0.5,Colorado,33.0,33,33,33.0,18.4,18.0,22,0.0,0.0,47.0,47.0,55.0,55.0,28.0,28.0,23.5,23.5,28,5.2,6
1.0,0.1,0.5,Colorado,33.0,33,33,33.0,24.5,24.5,26,0.0,0.0,47.0,47.0,55.2,55.0,28.0,28.0,29.3,29.5,33,5.3,8
0.5,0.1,1.0,Colorado,33.0,33,33,33.0,21.0,21.0,23,0.0,0.0,47.0,47.0,55.0,55.0,28.0,28.0,27.1,27.0,37,5.3,7
0.5,0.25,2.0,Colorado,33.0,33,33,33.0,26.7,26.5,28,0.0,0.0,47.0,47.0,55.0,55.0,28.0,28.0,30.1,30.0,33,5.4,7
1.0,0.25,1.0,Colorado,33.0,33,33,33.0,26.5,27.0,28,0.0,0.0,47.0,47.0,55.0,55.0,28.0,28.0,31.8,32.0,36,5.5,8
