alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,21.2,21.0,25,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,33.4,33.0,37,19.4,25
0.5,0.01,1.0,Texas,28.0,28,28,28.0,25.8,25.0,32,0.0,0,28.0,28.0,28.0,28.0,30.2,30.0,41.3,41.0,52,24.2,30
1.0,0.01,0.5,Texas,28.0,28,28,28.0,26.9,27.5,33,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,43.9,43.5,50,26.4,30
0.5,0.05,0.5,Texas,28.0,28,28,28.0,29.6,31.5,33,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,47.0,46.0,60,31.8,37
2.0,0.01,0.5,Texas,28.0,28,28,28.0,34.9,35.0,39,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,63.8,63.5,72,31.8,38
0.5,0.01,2.0,Texas,28.0,28,28,28.0,31.3,31.5,35,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,50.4,49.0,57,32.1,36
1.0,0.01,1.0,Texas,28.0,28,28,28.0,32.4,32.5,37,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,52.9,52.0,63,32.2,43
0.5,0.1,0.5,Texas,28.0,28,28,28.0,32.0,32.0,36,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,49.2,48.5,54,33.2,38
2.0,0.01,1.0,Texas,28.0,28,28,28.0,36.2,36.0,43,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,66.9,67.0,72,35.3,38
0.5,0.25,0.5,Texas,28.0,28,28,28.0,32.1,32.5,36,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,56.4,53.5,66,36.5,41
1.0,0.01,2.0,Texas,28.0,28,28,28.0,33.9,33.0,46,0.0,0,28.0,28.0,28.0,28.0,30.1,30.0,66.1,65.0,77,37.1,42
0.5,0.05,1.0,Texas,28.0,28,28,28.0,33.1,34.0,37,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,51.9,51.0,60,38.0,44
0.5,0.1,1.0,Texas,28.0,28,28,28.0,36.9,37.5,41,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,57.7,59.5,67,38.3,43
2.0,0.01,2.0,Texas,28.0,28,28,28.0,35.1,35.0,42,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,68.0,66.5,80,38.7,45
1.0,0.05,0.5,Texas,28.0,28,28,28.0,33.8,33.5,40,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,60.7,59.5,70,39.0,41
0.5,0.25,1.0,Texas,28.0,28,28,28.0,39.2,39.0,44,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,62.3,63.5,69,39.6,43
ALL,ALL,ALL,Texas,28.0,28,28,28.0,36.48888888888889,37.0,50,0.0,0,28.0,28.0,28.0,28.0,30.008333333333333,30.0,65.65,67.0,94,41.53055555555556,57
0.5,0.05,2.0,Texas,28.0,28,28,28.0,39.5,39.5,45,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,60.9,60.0,68,43.1,50
1.0,0.1,0.5,Texas,28.0,28,28,28.0,35.9,36.5,43,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,65.4,63.5,77,43.1,54
1.0,0.05,1.0,Texas,28.0,28,28,28.0,37.8,37.0,47,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,65.7,65.5,74,45.3,55
0.5,0.25,2.0,Texas,28.0,28,28,28.0,42.3,42.0,47,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,72.7,72.5,85,45.5,49
0.5,0.1,2.0,Texas,28.0,28,28,28.0,40.9,41.0,46,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,69.5,70.5,82,46.0,50
2.0,0.05,0.5,Texas,28.0,28,28,28.0,38.6,38.5,43,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,71.6,70.5,82,46.1,49
1.0,0.25,0.5,Texas,28.0,28,28,28.0,37.2,36.5,42,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,71.0,70.0,77,46.3,48
1.0,0.05,2.0,Texas,28.0,28,28,28.0,39.6,40.0,42,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,75.4,75.0,82,47.2,52
2.0,0.05,2.0,Texas,28.0,28,28,28.0,40.3,40.5,43,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,74.0,73.5,80,48.4,54
1.0,0.1,2.0,Texas,28.0,28,28,28.0,40.9,41.0,45,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,78.6,76.5,87,49.3,53
2.0,0.1,2.0,Texas,28.0,28,28,28.0,42.8,42.0,49,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,77.4,76.5,86,49.3,55
2.0,0.1,1.0,Texas,28.0,28,28,28.0,40.8,40.0,45,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,77.2,77.0,87,49.6,53
1.0,0.1,1.0,Texas,28.0,28,28,28.0,37.5,38.5,42,0.0,0,28.0,28.0,28.0,28.0,30.0,30.0,75.5,76.5,84,49.7,55
